Material_Main,Turning times, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),N2O-N loss (%)
7,7.0,0,1,0,35.0,35.0,0.0,0.0,5,0.06,0.3,72.86,0.6
8,9.33333,0,1,0,28.0,28.0,0.0,0.0,5,0.06,0.25,52.2,1.5
8,9.33333,0,1,0,28.0,28.0,0.0,2.03425,5,0.06,0.25,57.74443,1.4
8,9.33333,0,1,0,28.0,28.0,0.0,2.03425,5,0.06,0.25,57.74443,1.0
8,9.33333,0,1,0,28.0,28.0,0.0,2.03425,5,0.06,0.25,57.74443,0.3
8,9.33333,0,1,0,28.0,28.0,0.0,2.03425,5,0.06,0.25,57.74443,0.3
8,9.33333,0,1,0,28.0,28.0,0.0,2.03425,5,0.06,0.25,57.74443,0.3
0,0.0,2,0,0,133.0,0.0,0.0,0.0,5,0.1715,0.0,66.894,0.003
0,0.0,2,0,0,133.0,0.0,0.0,2.4,5,0.1845,0.0,66.944,0.016
0,0.0,2,0,0,133.0,0.0,0.0,2.4,5,0.1845,0.0,66.944,0.017
0,0.0,2,0,0,133.0,0.0,0.0,2.4,5,0.1845,0.0,66.944,0.053
0,0.0,2,0,0,133.0,0.0,0.0,2.4,5,0.1845,0.0,66.944,0.001
0,0.0,2,0,0,133.0,0.0,0.0,2.4,5,0.1845,0.0,66.944,0.003
0,0.0,2,0,0,133.0,0.0,0.0,2.4,5,0.1845,0.0,66.944,0.001
0,0.0,1,0,0,90.0,0.0,0.0,0.0,5,0.02069,0.0,73.564,0.22
0,0.0,1,0,0,90.0,0.0,0.0,0.0,4,0.02069,0.0,73.564,0.43
0,0.0,1,0,0,90.0,0.0,0.0,0.0,4,0.02069,0.0,73.564,0.17
