Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial C/N (%),Initial pH,Initial TC (%),Initial NH3-N (g/kg),Initial density (kg/L),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),NH3-N loss (%)
40.0,30.0,30.0,41.85131195335277,6.0,0.0,0.0,64.54545455,7.692307692,2.34,16.53935897,6.8098,38.7021,1.89683,0.0,22.0,7.8,0.0304569,26.0
40.0,30.0,30.0,41.85131195335277,6.0,6.0,0.0,63.55555556,7.317073171,2.31,16.39658009,5.99866,37.8761,2.01587,0.0,22.5,8.2,0.0159365,11.8
40.0,30.0,30.0,41.85131195335277,6.0,15.0,0.0,62.06896552,6.818181818,2.41,15.97082988,6.19841,38.4897,2.39286,0.0,23.2,8.8,0.063848,21.5
40.0,30.0,30.0,41.85131195335277,6.0,1.460823373,0.0,65.17412935,7.792207792,2.34,16.34773504,6.11367,38.2537,2.01587,0.0,22.11,7.7,0.0435213,20.2
24.0,24.0,0.0,0.0,24.0,2.560491,0.03,63.5,0.761035008,0.0,20.5,6.08647,0.0,0.0,2.202459504826303,10.8,3.942,0.0,12.86
24.0,24.0,0.0,0.0,24.0,0.0,0.03,63.5,0.768147484,0.0,20.5,6.00188,0.0,0.0,2.202459504826303,10.7,3.9055,0.0,10.23
68.0,68.0,1.0,5.0,6.888888888888889,0.0,0.005,43.61,4.29,2.33,28.8,4.92,49.43,0.0,0.295,0.0,0.0,0.0,50.4386
68.0,68.0,1.0,5.0,6.888888888888889,6.414309273643399,0.005,0.0,4.29,0.0,0.0,0.0,0.0,0.0,0.295,0.0,0.0,0.0,9.64912
68.0,68.0,1.0,5.0,6.888888888888889,35.7,0.005,0.0,4.29,0.0,0.0,0.0,0.0,0.0,0.295,0.0,0.0,0.0,13.4503
56.0,56.0,0.0,0.0,11.0,0.0,0.13,55.0,1.111111111,1.80435,25.02125419,7.4,45.1471,0.0441696,0.5,0.0,0.0,0.152866,1.02
56.0,56.0,0.0,0.0,11.0,2.0,0.13,55.0,1.111111111,1.84239,25.08996467,7.8,46.2255,0.0883392,0.5,0.0,0.0,0.136943,0.2
56.0,56.0,0.0,0.0,11.0,4.0,0.13,55.0,1.111111111,1.8587,25.00166783,7.8,46.4706,0.132509,0.5,0.0,0.0,0.121019,0.11
56.0,56.0,0.0,0.0,11.0,6.0,0.13,55.0,1.111111111,1.95109,23.99361383,8.0,46.8137,0.185512,0.5,0.0,0.0,0.10828,0.11
56.0,56.0,0.0,0.0,11.0,8.0,0.13,55.0,1.111111111,2.11957,22.31768708,8.0,47.3039,0.20318,0.5,0.0,0.0,0.0987261,0.06
56.0,56.0,0.0,0.0,11.0,12.0,0.13,55.0,1.111111111,2.27717,21.13908931,8.1,48.1373,0.238516,0.5,0.0,0.0,0.0859873,0.04
56.0,56.0,0.0,0.0,11.0,18.0,0.13,55.0,1.111111111,2.42935,20.4000247,8.2,49.5588,0.282686,0.5,0.0,0.0,0.0700637,0.02
25.0,25.0,0.0,0.0,25.0,0.0,0.03,66.0,0.823858955,3.164705882,17.0,5.8,53.8,0.0,0.357,10.71,3.6414,0.0,21.2
25.0,25.0,0.0,0.0,25.0,2.220354809,0.03,66.0,0.805963702,0.0,0.0,0.0,0.0,0.0,0.364926667,10.9478,3.722252,0.0,32.8
25.0,25.0,0.0,0.0,25.0,1.821661998,0.03,66.0,0.809119532,0.0,0.0,0.0,0.0,0.0,0.363503333,10.9051,3.707734,0.0,12.6
25.0,25.0,0.0,0.0,25.0,1.422969188,0.03,66.0,0.812300174,0.0,0.0,0.0,0.0,0.0,0.36208,10.8624,3.693216,0.0,3.5
69.0,0.0,0.0,0.0,37.0,0.0,0.08,80.7,0.0,0.82,20.37804878,0.0,16.71,0.0,0.0,0.0,0.0,0.0,11.4
69.0,0.0,0.0,0.0,37.0,3.0,0.08,80.7,0.0,0.9,22.76666667,0.0,20.49,0.0,0.0,0.0,0.0,0.0,8.137931034
69.0,0.0,0.0,0.0,37.0,4.0,0.08,80.7,0.0,0.95,19.47368421,0.0,18.5,0.0,0.0,0.0,0.0,0.0,4.225081967
69.0,0.0,0.0,0.0,37.0,3.0,0.08,80.7,0.0,0.83,22.13253012,0.0,18.37,0.0,0.0,0.0,0.0,0.0,7.9278
35.0,35.0,0.0,0.0,4.0,0.0,0.06,69.2,0.3,2.04,18.4,8.23053,37.48,4.04848,0.0,0.0,0.0,0.270275,32.5
35.0,35.0,0.0,0.0,4.0,0.0,0.06,69.2,0.3,2.04,18.4,8.02421,37.48,1.22424,0.0,0.0,0.0,0.186606,14.5
35.0,35.0,0.0,0.0,4.0,0.0,0.06,69.2,0.3,2.04,18.4,7.96947,37.48,2.03636,0.0,0.0,0.0,0.242752,16.0
35.0,35.0,0.0,0.0,4.0,0.0,0.06,69.2,0.3,2.04,18.4,8.16316,37.48,1.73333,0.0,0.0,0.0,0.203119,13.3
35.0,35.0,0.0,0.0,4.0,0.0,0.06,69.2,0.3,2.04,18.4,6.85368,37.48,2.98182,0.0,0.0,0.0,0.211927,5.9
30.0,30.0,0.0,0.0,6.0,0.0,0.12,66.11478261,2.566208171,1.94767,17.57894737,7.25571,33.4,0.344459,0.575,69.0,23.3808,0.0630603,1.6
30.0,30.0,0.0,0.0,6.0,5.0,0.12,0.0,2.566208171,1.94767,0.0,6.60761,0.0,0.357216,0.584742,70.16904,0.0,0.0438949,1.184
