Additive_3,Turning times,V2_Ventilation Interval (min), Composting Method,V1_Ventilation Type,Initial Moisture Content (%),Application Rate (%DW),V5_Ventilation rate (L/min/kg iniDW),Additive_1,Initial pH,Material_2,V3_Ventilation Duration (min),Initial C/N (%),M1_is Enclosed,V4_Ventilation Day,Additive_2,Additive_4,Compost volume (m3),Initial GI (%),Material_3,Material_Main,Period (d),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
None,0.0,0.0,Windrow,None,64.13882574421027,4.832338866892945,0.0,Sodium salt,10.456549270850829,Green Waste,0.0,9.346428274237889,0.0,0.0,Ca-superphosphate,None,0.314,27.328846580645163,Byproduct,Green waste,25.0,1.4280600332415827,13.347260671998226,95.85314200000003,8.545821992297729,1.3175421953201294,0.1492852647439571,21.5165684370563
None,8.0,0.0,Trough,None,68.90763703550417,4.0719139891033365,0.0,Sodium salt,9.645621553657286,Green Waste,0.0,44.51818518881589,0.0,0.0,Inorganic acid,None,0.314,27.32884658064516,Straw,Green waste,113.0,1.4280600332415827,63.57464102059536,93.251203,8.040398430252676,0.5910578966140747,0.1759469757642519,19.35039059716814
None,3.0,156.0,Trough,Intermittent ,74.14179268155496,5.252771092070852,7.38697749565174,LB Culture,5.164058426459552,Byproduct,12.494876238020058,36.56603491655504,0.0,16.0,None,None,0.314,27.32884658064516,Straw,Green waste,27.0,1.4280600332415827,52.218493038448464,93.43986600000002,9.044615537460595,1.2762486934661863,0.1823458786007109,22.094705119981185
None,0.0,0.0,Windrow,None,62.968823073210544,4.430998351584305,0.0,Sand,7.956971831941433,Green waste,0.0,21.119297759161405,1.0,0.0,Ca-superphosphate,None,0.314,27.328846580645163,Green waste,Green waste,20.0,1.4280600332415827,30.59193067902053,94.10952700000006,7.826708563302259,1.5196490287780762,0.1881342106450687,1000000.0
None,11.0,1171.0,Reactor,Intermittent ,60.59320009556431,4.533480368454153,0.7129530231651071,Lime,9.303667662813105,Byproduct,15.175150627640669,37.25306218523109,1.0,0.0,Microbiological agent,None,0.314,27.328846580645163,Straw,Green waste,22.0,1.4280600332415827,53.19960922259187,92.62600266666666,5.57922677909957,0.9615917205810548,0.1699704713262325,27.144213579422697
None,8.0,409.0,Windrow,Intermittent ,57.92173545224741,3.9308481113203633,3.463800301616353,Sodium phosphates,8.662083373296447,None,30.212676947498437,14.575689378880876,0.0,26.0,None,None,0.314,27.32884658064516,Mature compost,Green waste,77.0,1.4280600332415827,20.81495945892361,92.659906,7.496592820750052,1.0726797580718994,0.1375666856019547,24.29897583580771
None,9.0,140.0,Reactor,Intermittent ,44.147676302665474,7.800342047218486,1.6399889139928747,None,10.208106245436008,Straw,43.835038510060016,13.512066127453895,1.0,11.0,None,None,0.314,27.32884658064516,Straw,Green waste,14.0,1.4280600332415827,19.296041603134277,95.53281966666668,5.251648884112189,1.0523412227630615,0.1983123205919356,30.319580882826457
None,14.0,502.0,Reactor,Intermittent ,54.13496790593889,2.695100851756834,0.0292086663312444,Forsterite,7.662189775119037,Plastic tube pieces,19.88014701517583,33.890404036947096,1.0,3.0,Gypsum,None,0.314,27.328846580645163,Straw,Green waste,41.0,1.4280600332415827,48.39753151557334,93.275648,8.412003547458909,1.0287970304489136,0.1402510500461259,21.82038075058508
None,7.0,0.0,Windrow,None,74.05438704958922,7.295664600193753,1.0519743693980457,MgSO₄,8.466635450648774,Husk,3.225135485367077,6.415485585421678,0.0,0.0,DCD,None,0.314,27.418858172642985,Straw,Green waste,43.0,1.4280600332415827,10.201686994187313,96.70886200000002,9.543164245598582,0.7806686758995056,0.1657809756021776,1000000.0
None,31.0,0.0,Windrow,None,82.17627422641692,7.835534408443257,0.0,MgSO₄,4.483445142579669,None,0.0,29.306851391642144,0.0,0.0,Calcium magnesium phosphate fertilizer,None,0.314,27.32884658064516,Straw,Green waste,29.0,1.4280600332415827,41.851943172554606,92.93372200000002,7.931181553439139,0.9483429789543152,0.1610171163096788,25.12523309277248
None,17.0,250.0,Reactor,Intermittent ,62.975415766183865,2.734869541640717,4.367160585666539,MgO,10.668781901382271,Straw,21.81492077837464,14.36824152912656,1.0,23.0,None,None,0.314,27.32884658064516,Straw,Green waste,45.0,1.4280600332415827,20.518711475707565,93.901168,7.693326380980608,0.9513235092163086,0.1746406996014281,28.262571053740047
None,4.0,0.0,Trough,None,64.12176215161293,4.7882158922686,0.0,Microbiological agent,11.810121464100336,Green Waste,2.240687185786453,4.923851747641519,0.0,0.0,Ca-superphosphate,None,0.314,27.32884658064516,Straw,Green waste,115.0,1.4538339720171527,7.031555890413574,95.252467,1000000.0,1000000.0,1000000.0,1000000.0
None,3.0,0.0,Windrow,None,77.32694634703415,0.7860903158237822,0.0,Carbonatite,10.455943386414942,Plastic tube pieces,0.0,8.399995859261352,0.0,0.0,Organic acid,None,0.314,27.32884658064516,Straw,Green waste,45.0,1.4280600332415827,11.995698366005923,94.30253000000002,8.363600324742874,0.6616207361221313,0.1448251810057497,19.73665552595182
