M1_is Enclosed,Material_2, Composting Method,Additive Species,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),TN loss (%)
0.75,14,0,2,11,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,38,0.49,11,20.51,13.82
0.75,14,0,2,11,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,38,0.49,11,20.51,10.57
0.75,14,0,2,11,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,38,0.49,11,20.51,9.8
0.75,14,0,2,11,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,45,0.49,11,20.51,33.01
0.75,14,0,2,11,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,45,0.49,11,20.51,28.94
0.75,14,0,2,11,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,45,0.49,11,20.51,21.28
0.75,14,0,2,11,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,45,0.49,11,20.51,17.39
0.75,16,1,3,11,42.74,22.55,2,2.36,13.4,5.45,5.25,1.45,64.48,28,0.49,13,20.51,34.15
0.75,16,1,4,11,42.74,22.55,2,2.36,13.4,5.45,5.25,1.45,64.48,3,0.49,13,20.51,29.07
0.0,22,1,3,0,50.0,0.0,2,0.0,0.0,9.0,0.0,0.06,60.6,28,0.0,13,22.5,15.0
0.0,22,1,1,0,50.0,0.0,2,0.0,0.0,9.0,25.49,0.06,60.1,11,0.0,13,23.4,10.8
1.0,27,0,3,11,28.0,28.0,0,0.0,0.0,4.0,0.0,0.06,62.06,28,0.36,13,17.91,20.29
1.0,27,0,1,11,28.0,28.0,0,0.0,0.0,4.0,10.0,0.06,58.69,38,0.36,13,18.23,13.03
1.0,26,0,4,10,56.0,56.0,0,0.0,0.0,11.0,10.0,0.1,55.0,45,0.79,13,25.18,28.8
1.0,26,0,4,10,56.0,56.0,0,0.0,0.0,11.0,10.0,0.1,55.0,19,0.79,13,25.67,28.3
