Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4,Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),TN loss (%)
9,6,3,36,13,2,1,0,1.0,40.0,1,30.0,30.0,690.0,6.0,15.0,0.12,62.07,6.82,15.97,46.5
9,6,3,46,13,2,1,0,1.0,40.0,1,30.0,30.0,690.0,6.0,1.46,0.31,65.17,7.79,16.35,41.5
5,6,3,29,13,2,1,1,0.0,28.0,2,0.0,0.0,0.0,4.0,0.0,1.0,65.0,0.0,26.71,19.53
5,6,3,3,13,2,1,1,0.0,28.0,2,0.0,0.0,0.0,4.0,6.0,1.0,66.65,0.0,16.44,22.53
5,6,3,3,13,2,1,1,0.0,28.0,2,0.0,0.0,0.0,4.0,18.0,1.0,61.75,0.0,25.71,20.85
5,6,3,3,13,2,1,1,0.0,28.0,2,0.0,0.0,0.0,4.0,30.0,1.0,60.51,0.0,24.71,19.4
5,6,3,3,13,2,1,1,0.0,28.0,2,0.0,0.0,0.0,4.0,42.0,1.0,61.5,0.0,25.36,16.26
5,6,3,3,13,2,1,1,0.75,42.74,2,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,14.85
9,5,3,29,13,2,1,0,1.0,28.0,0,28.0,0.0,0.0,4.0,0.0,1.8,63.24,0.2,14.39,19.5
9,5,3,42,13,2,1,0,1.0,28.0,0,28.0,0.0,0.0,4.0,0.69,1.8,64.05,0.21,13.54,18.5
8,6,3,29,13,2,1,0,1.0,56.0,1,56.0,0.0,0.0,11.0,0.0,0.13,55.0,1.11,25.02,6.03
8,6,3,3,13,2,1,0,1.0,56.0,1,56.0,0.0,0.0,11.0,2.0,0.13,55.0,1.11,25.09,4.15
8,6,3,3,13,2,1,0,1.0,56.0,1,56.0,0.0,0.0,11.0,4.0,0.13,55.0,1.11,25.0,2.7
