Turning times,V1_Ventilation Type,Period (d),V3_Ventilation Duration (min),Material_2,Compost volume (m3),Initial Moisture Content (%),Additive_3,Material_3, Composting Method,Initial GI (%),Additive_4,Material_Main,V5_Ventilation rate (L/min/kg iniDW),V2_Ventilation Interval (min),Initial C/N (%),Additive_1,Initial pH,Additive_2,V4_Ventilation Day,M1_is Enclosed,Application Rate (%DW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
7.0,None,83.0,0,Sawdust,0.6277154746460176,57.0,None,Byproduct,Reactor,27.32884658064516,None,Swine manure,0.0,0,25.300639404393117,Organic acid,7.0,Organic acid,0.0,1.0,5.777229955189183,2.0952942734506244,53.0122848586641,107.91678600000004,8.123568617030536,1.2132141590118408,0.20369510413159989,23.071187542264386
7.0,None,61.0,0,Byproduct,0.6277154746460176,51.54478213841158,None,Green waste,Windrow,27.32884658064516,None,Swine manure,0.0,0,24.849294271829173,Zeolite,5.258376101993778,MgSO₄,0.0,1.0,8.380415196463435,2.0952942734506244,52.06658398705307,107.65617500000002,8.295991985695693,1.232401967048645,0.19064490234753434,21.465746673533104
3.0,None,82.0,0,Green waste,0.6277154746460176,63.0,None,Byproduct,Reactor,27.32884658064516,None,Swine manure,0.0,0,38.0,MgSO₄,5.118428397974228,Microbiological agent,0.0,1.0,2.526007356812891,2.0952942734506244,79.62118239112371,107.99598600000002,8.123568617030536,1.1910953521728516,0.22920477520850366,1000000.0
9.0,None,131.0,0,Green waste,0.6277154746460176,62.141709975162755,None,Byproduct,Reactor,27.32884658064516,None,Swine manure,0.0,0,31.141208905299283,K₂SO₄,5.0,Mg(OH)₂,0.0,1.0,5.71002022522574,2.0952942734506244,65.24999668760317,106.77419400000002,8.405572758515747,1.114025354385376,0.22606297586693505,22.1151009807946
4.0,None,57.0,0,None,0.6277154746460176,54.21181289996106,None,Mature compost,Reactor,27.32884658064516,None,Swine manure,0.0,0,39.0,Sodium salt,7.8681166770269035,Organic acid,0.0,1.0,3.9190971426246586,2.0952942734506244,81.71647666457434,106.278235,8.123568617030536,1.198756456375122,0.23962186467170074,1000000.0
5.0,None,45.0,0,Soil,0.6277154746460176,58.82214994512765,None,Mature compost,Reactor,27.32884658064516,None,Swine manure,0.0,0,19.71484921103784,Phosphogypsum,7.0,Microbiological agent,0.0,1.0,4.20875842212684,2.0952942734506244,41.308410653830144,106.238132,8.123568617030536,1.1999132633209229,0.2194644894476298,1000000.0
25.0,None,51.0,0,Husk,0.6277154746460176,59.95281059680721,None,None,Reactor,27.32884658064516,None,Swine manure,0.0,0,21.0,Urea,7.0,MgO,0.0,1.0,8.457023056330481,2.0952942734506244,44.00117974246311,105.06338400000004,8.123568617030536,1.158782720565796,0.22373804056219795,1000000.0
7.0,None,15.0,0,Straw,0.6277154746460176,50.51096385257689,None,None,Reactor,27.32884658064516,None,Swine manure,0.0,0,37.678772549522336,Labile carbon source,6.0,MgSO₄,0.0,1.0,6.550646027142522,2.0952942734506244,78.94811635366274,105.641003,8.405572758515747,1.1587200164794922,0.19296681821085507,29.06570885459511
2.0,None,115.0,0,Plastic tube pieces,0.6277154746460176,52.0,None,Green waste,Reactor,27.32884658064516,None,Swine manure,0.0,0,36.734703871259704,MgSO₄,8.0,Organic acid,0.0,1.0,2.466490180025942,2.0952942734506244,76.97001465835494,106.579702,8.123568617030536,1.1910953521728516,0.2437999819212893,14.700273513375516
6.0,None,38.0,0,Green waste,0.6277154746460176,62.0,None,Straw,Reactor,27.32884658064516,None,Swine manure,0.0,0,13.378731273396044,Sodium phosphates,7.0,None,0.0,1.0,9.192769024625619,2.0952942734506244,28.03237902318151,105.85768600000004,8.123568617030536,1.2132141590118408,0.2301584962638815,24.040917946316114
7.0,None,69.0,0,Green waste,0.6277154746460176,57.55473744336808,None,Green waste,Windrow,27.32884658064516,None,Swine manure,0.0,0,12.0,Sand,5.0,DCD,0.0,1.0,8.134483185297213,2.0952942734506244,25.14353128140749,107.62700100000002,8.123568617030536,1.3167842626571655,0.1913724528747952,1000000.0
5.0,None,117.0,0,Woody peat,0.6277154746460176,59.425034339238756,None,Mature compost,Reactor,27.32884658064516,None,Swine manure,0.0,0,31.3358814653165,MgCl₂,7.0,Potassium phosphate,0.0,1.0,4.983004748109527,2.0952942734506244,65.65789298780523,106.632544,8.123568617030536,1.1551556587219238,0.22054203356650287,17.968659588971537
15.0,None,38.0,0,Green Waste,0.6277154746460176,67.18037777250247,None,Green waste,Reactor,27.32884658064516,None,Swine manure,0.0,0,12.40104034843951,Zeolite,8.0,Organic acid,0.0,1.0,3.5397374655561924,2.0952942734506244,25.983828826915442,107.028205,8.123568617030536,1.1565260887145996,0.2159011718590779,27.07798069613518
