Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Turning times,Period (d),V4_Ventilation Day,V1_Ventilation Type,Compost volume (m3),V3_Ventilation Duration (min),Application Rate (%DW),Initial Moisture Content (%),Initial C/N (%),Initial pH,Initial TN (%),V5_Ventilation rate (L/min/kg iniDW),TN loss (%)
10,8,3,2,11,4,1,1,1.0,0.0,8.0,56.0,28.0,0.0,0.4,0.0,16.95419,65.0,23.89093,7.90706,1.20414,5e-05,16.5561
10,8,3,2,11,4,1,1,1.0,0.0,8.0,56.0,28.0,0.0,0.4,0.0,25.43129,65.0,24.47429,7.93882,1.34673,4e-05,12.5751
10,8,3,2,12,4,1,1,1.0,0.0,8.0,56.0,28.0,0.0,0.4,0.0,9.04224,65.0,23.16467,7.97765,1.22175,5e-05,12.7014
10,8,3,2,12,4,1,1,1.0,0.0,8.0,56.0,28.0,0.0,0.4,0.0,9.60738,65.0,23.16467,8.03059,1.22175,5e-05,9.85783
10,8,3,2,12,4,1,1,1.0,0.0,8.0,56.0,28.0,0.0,0.4,0.0,10.17252,65.0,23.16467,8.00941,1.22175,5e-05,18.3255
3,8,4,18,11,4,1,0,1.0,0.0,9.0,35.0,35.0,0.0,0.02,0.0,2.25,64.37473,29.0076,11.9607,1.59856,0.5,44.2829
3,8,4,18,8,6,1,0,1.0,0.0,9.0,35.0,35.0,0.0,0.02,0.0,1.8209,62.789,32.0229,6.47344,1.43957,0.5,0.2907
3,8,4,18,8,6,1,0,1.0,0.0,9.0,35.0,35.0,0.0,0.02,0.0,2.5709,58.25873,30.3435,8.34411,2.04975,0.5,19.0891
3,8,4,18,8,6,1,0,1.0,0.0,9.0,35.0,35.0,0.0,0.02,0.0,3.3209,64.87473,26.9466,11.5866,1.72556,0.5,27.3256
3,8,4,18,8,6,1,0,1.0,0.0,9.0,35.0,35.0,0.0,0.02,0.0,4.0709,64.37473,29.0458,12.0647,1.59856,0.5,47.9651
10,13,4,27,11,4,1,0,1.0,690.0,6.0,40.0,30.0,1.0,0.10284,30.0,0.0,64.54545,16.53936,6.8098,2.34,7.69231,53.1
10,13,4,4,11,4,1,0,1.0,690.0,6.0,40.0,30.0,1.0,0.1614,30.0,6.0,63.55556,16.39658,5.99866,2.31,7.31707,36.2
10,13,4,28,11,4,1,0,1.0,690.0,6.0,40.0,30.0,1.0,0.078,30.0,15.0,62.06897,15.97083,6.19841,2.41,6.81818,46.5
10,13,4,28,11,4,1,0,1.0,690.0,6.0,40.0,30.0,1.0,0.1614,30.0,1.46082,65.17413,16.34774,6.11367,2.34,7.79221,41.5
5,13,4,27,11,4,1,1,0.0,0.0,4.0,28.0,0.0,2.0,1.0,0.0,0.0,65.0,26.71429,7.51455,1.4,0.0,19.53
5,13,4,2,11,4,1,1,0.0,0.0,4.0,28.0,0.0,2.0,1.0,0.0,6.0,63.17146,28.54658,7.18373,1.4,0.0,22.53
5,13,4,2,11,4,1,1,0.0,0.0,4.0,28.0,0.0,2.0,1.0,0.0,18.0,63.60536,29.69844,7.27959,1.4,0.0,20.85
