Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final pH
1,25,1,0,6,50.0,25.1,0,1.02,0,9,8.0,0.1,60.0,12,1.25,15,31.04,7.91
1,25,1,0,6,50.0,25.1,0,1.02,0,9,10.0,0.1,60.0,12,0.69,15,30.79,8.05
1,25,1,0,9,50.0,50.0,0,0.0,0,9,0.0,0.1,55.0,41,0.3,15,25.0,7.96
1,25,1,0,9,50.0,50.0,0,0.0,0,9,10.0,0.1,61.49,6,0.3,15,24.25,8.5
1,25,1,0,9,50.0,50.0,0,0.0,0,9,20.0,0.1,60.71,6,0.3,18,18.55,8.6
1,25,1,0,9,50.0,50.0,0,0.0,0,9,20.5,0.1,59.46,6,0.3,18,18.55,8.57
1,25,1,0,9,50.0,50.0,0,0.0,0,9,21.0,0.1,59.72,6,0.3,18,18.55,8.65
1,25,1,0,9,50.0,50.0,0,0.0,0,9,22.0,0.1,59.72,6,0.3,18,17.95,8.55
1,14,1,0,8,34.0,34.0,0,0.0,0,7,0.0,0.01,67.6,41,0.03,15,33.5,8.09
1,14,1,0,8,34.0,34.0,0,0.0,0,7,7.73,0.01,67.3,31,0.03,9,33.52,8.49
1,14,1,0,8,34.0,34.0,0,0.0,0,7,7.13,0.01,66.8,23,0.03,7,33.11,8.57
1,14,1,0,8,34.0,34.0,0,0.0,0,7,6.05,0.01,66.0,31,0.03,7,31.53,8.04
1,25,1,0,8,42.0,42.0,0,0.0,0,9,2.0,0.1,62.27,27,1.43,15,25.56,7.13
1,25,1,0,8,42.0,42.0,0,0.0,0,9,4.0,0.1,63.47,27,1.44,15,25.83,7.66
1,25,1,0,8,42.0,42.0,0,0.0,0,9,6.0,0.1,63.47,27,1.44,15,25.91,7.84
1,25,1,0,8,42.0,42.0,0,0.0,0,9,10.0,0.1,61.81,27,2.63,15,25.98,8.24
3,7,0,2,9,52.0,0.0,2,0.0,0,13,0.0,4.93,65.0,41,0.0,15,16.75,8.29
3,7,0,2,9,52.0,0.0,2,0.0,0,13,23.0,6.64,65.0,6,0.0,15,24.09,7.87
