Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final TC (%)
3,10,1,0,5,35.0,0.0,2,0.0,0,4,12.5,0.0,60.0,6,0.0,10,7.65,36.94
3,10,1,0,5,35.0,0.0,2,0.0,0,4,7.5,0.0,60.0,10,0.0,10,8.48,35.6
3,10,1,0,5,35.0,0.0,2,0.0,0,4,12.5,0.0,60.0,29,0.0,2,7.56,35.0
3,10,1,0,5,35.0,0.0,2,0.0,0,4,20.0,0.0,60.0,29,0.0,3,7.45,32.56
3,10,1,0,5,35.0,0.0,2,0.0,0,4,20.0,0.0,60.0,6,0.0,3,8.23,34.71
3,10,1,0,5,35.0,0.0,2,0.0,0,4,20.0,0.0,60.0,29,0.0,2,20.87,32.32
0,12,1,0,6,22.0,22.0,0,0.0,0,0,0.0,0.0,63.45,20,0.3,10,11.68,19.61
0,12,1,0,6,22.0,22.0,0,0.0,0,0,0.0,0.0,62.82,20,0.3,10,10.89,19.25
0,12,1,0,6,22.0,22.0,0,0.0,0,0,0.0,0.0,63.53,20,0.36,10,11.38,20.86
0,12,1,0,6,22.0,22.0,0,0.0,0,0,0.0,0.0,61.74,20,0.27,10,12.39,18.05
0,12,1,0,6,22.0,22.0,0,0.0,0,0,0.0,0.0,62.52,20,0.3,10,12.04,18.28
0,12,1,0,6,22.0,22.0,0,0.0,0,0,0.0,0.0,62.08,20,0.28,10,9.49,18.87
0,14,1,0,6,22.0,22.0,0,0.0,0,0,0.0,0.0,60.35,20,0.28,10,12.19,20.14
0,14,1,0,6,22.0,22.0,0,0.0,0,0,0.0,0.0,61.11,20,0.27,10,12.47,17.67
0,14,1,0,6,22.0,22.0,0,0.0,0,0,0.0,0.0,62.01,20,0.28,10,12.04,17.42
0,14,1,0,6,22.0,22.0,0,0.0,0,0,0.0,0.0,62.56,20,0.3,10,11.48,16.76
0,15,1,0,6,22.0,22.0,0,0.0,0,0,0.0,0.0,61.58,20,0.27,10,12.56,16.47
0,12,1,0,6,22.0,22.0,0,0.0,0,0,0.0,0.0,63.18,20,0.3,10,9.95,17.44
0,14,1,0,6,22.0,22.0,0,0.0,0,0,0.0,0.0,57.57,20,0.24,10,13.48,17.18
0,14,1,0,6,22.0,22.0,0,0.0,0,0,0.0,0.0,61.18,20,0.26,10,11.3,18.17
0,14,1,0,6,22.0,22.0,0,0.0,0,0,0.0,0.0,60.59,20,0.28,10,10.25,17.87
0,14,1,0,6,22.0,22.0,0,0.0,0,0,0.0,0.0,59.92,20,0.28,10,10.59,18.77
0,14,1,0,6,22.0,22.0,0,0.0,0,0,0.0,0.0,61.03,20,0.26,10,10.29,17.2
3,1,1,1,1,40.0,0.0,2,0.0,0,7,0.0,0.2,65.0,20,0.0,10,29.71,26.6
3,1,1,1,1,40.0,0.0,2,0.0,0,7,1.0,0.2,65.0,18,0.0,10,29.85,26.98
3,1,1,1,1,40.0,0.0,2,0.0,0,7,5.0,0.2,65.0,3,0.0,10,33.08,29.13
3,1,1,1,1,40.0,0.0,2,0.0,0,7,6.0,0.2,65.0,3,0.0,9,33.44,31.02
