Aeration method,Material_2,M1_is Enclosed,Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final GI (%)
1,1,1,0,6,37.0,37.0,1,25.0,1,3,0.0,0.06,70.0,22,0.72,11,14.67,66.15
1,1,1,0,6,37.0,37.0,1,25.0,1,3,0.0,0.06,75.0,22,0.24,11,21.53,73.74
1,1,1,0,6,37.0,37.0,1,25.0,1,3,0.0,0.06,75.0,22,0.48,11,14.71,53.31
1,1,1,0,6,37.0,37.0,1,25.0,1,3,0.0,0.06,75.0,22,0.72,11,17.9,85.99
1,2,1,0,6,37.0,37.0,0,0.0,0,3,0.0,0.06,64.1,22,0.24,11,14.7,62.0
1,2,1,0,6,37.0,37.0,0,0.0,0,3,0.0,0.06,65.2,22,0.48,11,18.3,90.9
1,2,1,0,6,37.0,37.0,0,0.0,0,3,0.0,0.06,63.7,22,0.72,11,20.7,83.5
1,2,1,0,6,37.0,37.0,0,0.0,0,3,0.0,0.06,71.3,22,0.24,11,18.4,81.4
1,2,1,0,6,37.0,37.0,0,0.0,0,3,0.0,0.06,70.6,22,0.48,11,21.1,85.7
1,2,1,0,6,37.0,37.0,0,0.0,0,3,0.0,0.06,70.8,22,0.72,11,15.0,66.2
1,2,1,0,6,37.0,37.0,0,0.0,0,3,0.0,0.06,75.7,22,0.24,11,21.2,73.5
1,2,1,0,6,37.0,37.0,0,0.0,0,3,0.0,0.06,76.8,22,0.48,11,14.9,53.2
1,2,1,0,6,37.0,37.0,0,0.0,0,3,0.0,0.06,74.0,22,0.72,11,18.0,86.1
3,3,0,2,4,21.0,0.0,2,0.0,0,13,0.0,2.0,60.0,22,0.0,11,26.03,83.23
3,3,0,2,4,21.0,0.0,2,0.0,0,13,19.98,2.0,60.0,20,0.0,11,26.03,90.7
3,3,0,2,4,21.0,0.0,2,0.0,0,13,19.98,2.0,60.0,20,0.0,11,26.03,89.1
3,3,0,2,4,21.0,0.0,2,0.0,0,13,19.98,2.0,60.0,20,0.0,11,26.03,94.58
3,3,0,2,4,21.0,0.0,2,0.0,0,13,19.98,2.0,60.0,20,0.0,11,26.03,89.15
