Material_Main,M1_is Enclosed,Turning times, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),TN loss (%)
8,1,5.09091,0,56.0,0,56.0,0.0,18.0,11,0.13,1.11111,55.0,20.40002,2.42935,1,49.5588,5,0.5,2.08
4,0,1.86486,1,69.0,0,0.0,0.0,0.0,2,0.08,0.0,80.7,20.37805,0.82,0,16.71,5,0.47273,24.05063
4,0,1.86486,1,69.0,0,0.0,0.0,3.0,2,0.08,0.0,80.7,22.76667,0.9,0,20.49,5,0.47273,17.24138
4,0,1.86486,1,69.0,0,0.0,0.0,4.0,2,0.08,0.0,80.7,19.47368,0.95,0,18.5,52,0.47273,11.63934
4,0,1.86486,1,69.0,0,0.0,0.0,3.0,2,0.08,0.0,80.7,22.13253,0.83,0,18.37,52,0.47273,18.1
10,1,8.75,0,35.0,0,35.0,0.0,0.0,11,0.06,0.3,69.2,18.4,2.04,0,37.48,5,0.62048,37.5
10,1,8.75,0,35.0,0,35.0,0.0,2.124,11,0.06,0.3,69.2,18.4,2.04,0,37.48,18,0.61727,18.8
10,1,8.75,0,35.0,0,35.0,0.0,2.124,11,0.06,0.3,69.2,18.4,2.04,0,37.48,19,0.61727,20.8
10,1,8.75,0,35.0,0,35.0,0.0,2.124,11,0.06,0.3,69.2,18.4,2.04,0,37.48,7,0.61727,17.6
10,1,8.75,0,35.0,0,35.0,0.0,2.124,11,0.06,0.3,69.2,18.4,2.04,0,37.48,18,0.61727,9.8
10,0,5.46667,2,82.0,0,0.0,0.0,1.37741,7,5.456,0.0,63.7,15.4,2.60573,0,40.1283,30,0.3684,30.73
10,0,5.46667,2,82.0,0,0.0,0.0,9.64187,7,5.456,0.0,63.7,17.51,2.44091,0,42.7403,5,0.3794,20.73
10,1,7.14286,0,50.0,8,50.0,10.0,2.5,4,0.18,6.25,60.0,17.6,2.66347,1,46.87707,30,0.22222,32.19
10,1,7.14286,0,50.0,8,50.0,10.0,2.5,4,0.18,6.25,60.0,24.0,1.99045,1,47.7708,30,0.22222,20.8
10,1,7.14286,0,50.0,8,50.0,10.0,2.5,4,0.18,6.25,60.0,32.4,1.55129,1,50.2618,30,0.22222,13.65
10,1,7.14286,0,50.0,8,50.0,10.0,2.5,4,0.18,6.25,60.0,40.3,1.24328,1,50.10418,30,0.22222,7.66
10,1,7.14286,0,50.0,8,50.0,10.0,2.5,4,0.18,6.25,60.0,24.0,1.94444,1,47.51757,49,0.22222,20.8
10,1,7.14286,0,50.0,8,50.0,10.0,5.0,4,0.18,6.25,60.0,24.4,1.95144,1,47.51757,49,0.22222,13.82
10,1,7.14286,0,50.0,8,50.0,10.0,7.5,4,0.18,6.25,60.0,24.1,1.87774,1,47.99453,49,0.22222,10.57
10,1,7.14286,0,50.0,8,50.0,10.0,10.0,4,0.18,6.25,60.0,24.1,1.84651,1,47.99453,49,0.22222,9.8
10,1,7.0,0,35.0,8,35.0,10.0,2.5,4,0.18,6.25,60.0,27.0,1.8811,1,50.7897,56,0.22222,33.01
10,1,7.0,0,35.0,8,35.0,10.0,9.23077,4,0.18,6.25,60.0,26.0,1.76278,1,45.83228,56,0.22222,28.94
10,1,7.0,0,35.0,8,35.0,10.0,16.92308,4,0.18,6.25,60.0,26.3,1.55575,1,40.91622,56,0.22222,21.28
10,1,7.0,0,35.0,8,35.0,10.0,24.61538,4,0.18,6.25,60.0,25.3,1.48814,1,37.64994,56,0.22222,17.39
10,0,1.30645,1,81.0,0,0.0,0.0,0.0,7,16.0,0.0,65.0,14.42029,2.76,0,39.8,5,1.17979,34.15
