Material_Main,M1_is Enclosed,Turning times, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),TC loss (%)
0,1,12.0,0,60.0,0,60.0,0.0,0.29709,8,0.045,0.66,70.0,19.0,2.0,0,38.5,22,0.29872,50.0
1,1,0.0,0,28.0,0,28.0,0.0,0.0,8,0.01,0.28,69.0,11.0,3.7,0,40.7,3,0.24194,23.5
1,1,0.0,0,28.0,0,28.0,0.0,0.0,4,0.01,0.28,63.0,11.0,3.7,0,40.7,3,0.27027,20.6
1,1,0.0,0,28.0,0,28.0,0.0,0.0,4,0.01,0.28,66.0,11.0,3.7,0,40.7,3,0.25735,21.8
1,1,0.0,0,28.0,0,28.0,0.0,0.0,5,0.01,0.28,65.0,14.7,2.85034,0,41.9,3,0.28571,16.8
1,1,0.0,0,28.0,0,28.0,0.0,0.0,5,0.01,0.28,67.0,12.9,3.2093,0,41.4,3,0.26515,19.2
1,1,0.0,0,28.0,0,28.0,0.0,25.0,8,0.01,0.28,65.0,16.7,2.93413,0,49.0,3,0.28571,8.9
1,1,0.0,0,28.0,0,28.0,0.0,14.28571,8,0.01,0.28,67.0,14.0,3.24286,0,45.4,3,0.26515,13.4
1,1,0.0,0,28.0,0,28.0,0.0,0.0,8,0.01,0.28,65.0,14.0,2.95714,0,41.4,3,0.28571,29.5
1,1,0.0,0,28.0,0,28.0,0.0,0.0,2,0.01,0.28,65.0,12.1,3.34711,0,40.5,3,0.28571,18.6
8,1,9.25,0,37.0,1,37.0,25.0,0.0,8,0.06,0.24,65.0,14.5,2.4,1,34.8,3,0.35841,43.0
8,1,9.25,0,37.0,1,37.0,25.0,0.0,8,0.06,0.48,65.0,18.09524,2.1,1,38.0,3,0.5477,50.0
8,1,9.25,0,37.0,1,37.0,25.0,0.0,8,0.06,0.72,65.0,20.73684,1.9,1,39.4,3,0.63055,53.0
8,1,9.25,0,37.0,1,37.0,25.0,0.0,8,0.06,0.24,70.0,18.09524,2.1,1,38.0,3,0.5928,41.0
8,1,9.25,0,37.0,1,37.0,25.0,0.0,8,0.06,0.48,70.0,21.10526,1.9,1,40.1,3,0.58795,55.0
8,1,9.25,0,37.0,1,37.0,25.0,0.0,8,0.06,0.72,70.0,14.66667,2.4,1,35.2,3,0.5605,50.0
8,1,9.25,0,37.0,1,37.0,25.0,0.0,8,0.06,0.24,75.0,21.52632,1.9,1,40.9,3,0.49439,46.0
8,1,9.25,0,37.0,1,37.0,25.0,0.0,8,0.06,0.48,75.0,14.70833,2.4,1,35.3,3,0.62249,34.0
8,1,9.25,0,37.0,1,37.0,25.0,0.0,8,0.06,0.72,75.0,17.90476,2.1,1,37.6,3,0.55272,49.0
8,1,9.25,0,37.0,0,37.0,0.0,0.0,8,0.06,0.24,64.1,14.7,2.36,0,34.8,3,0.44435,42.7
8,1,9.25,0,37.0,0,37.0,0.0,0.0,8,0.06,0.48,65.2,18.3,2.08,0,38.0,3,0.5477,51.0
8,1,9.25,0,37.0,0,37.0,0.0,0.0,8,0.06,0.72,63.7,20.7,1.9,0,39.4,3,0.63695,50.7
8,1,9.25,0,37.0,0,37.0,0.0,0.0,8,0.06,0.24,71.3,18.4,2.06,0,38.0,3,0.55159,41.6
8,1,9.25,0,37.0,0,37.0,0.0,0.0,8,0.06,0.48,70.6,21.1,1.9,0,40.1,3,0.58795,54.0
8,1,9.25,0,37.0,0,37.0,0.0,0.0,8,0.06,0.72,70.8,15.0,2.35,0,35.2,3,0.59114,50.3
8,1,9.25,0,37.0,0,37.0,0.0,0.0,8,0.06,0.24,75.7,21.2,1.93,0,40.9,3,0.49439,45.6
