Material_Main,Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_4,Additive_2,Additive_1,Material_3,Material_2,Additive_3,Period (d),V1_Ventilation Type,V4_Ventilation Day,Compost volume (m3),V3_Ventilation Duration (min),V5_Ventilation rate (L/min/kg iniDW),Application Rate (%DW),Initial TN (%),Initial pH,Initial Moisture Content (%),Initial C/N (%)
-0.45189884,0.062894806,0.004764534,0.00077497936,0.0011005132,0.0,-0.0020328937,-0.03004661,7.347674e-07,0.006345402,-0.00012669036,-0.027343689,-0.0014118796,-0.008433993,-0.009599264,-0.015072585,-0.09421837,0.027848976,0.047208022,-0.081354834,-0.047817755,-0.010041308
-0.3713513,0.05513495,0.004978448,-0.00050825195,-0.00065849646,0.0,-0.0005106831,0.016706549,7.347674e-07,-0.0030146602,-5.6825183e-07,-0.03827503,0.002061481,-0.009221384,-0.0047582607,-0.025352262,-0.111094765,-0.060103662,-0.044884533,-0.06815823,-0.05057115,0.04798958
0.12186071,-0.06006579,-0.028006082,0.000706531,0.0033872481,0.0,-0.0024887999,-0.031468276,5.2483387e-07,0.15221526,-6.8393994e-05,-0.02485577,-0.019454418,0.06870006,0.047685064,0.01462244,0.21260688,0.03726557,0.08610558,-0.08748356,-0.0432281,0.100279704
0.24818626,0.00040368806,0.00015148429,-0.0004446416,0.017091732,0.0,-0.0012456676,0.12755291,5.2483387e-07,0.54644555,-6.5860695e-05,-0.025277786,0.05642937,-0.01333545,0.16512538,0.018420368,0.040130068,-0.0033618577,-0.077715054,-0.017361643,0.045225747,0.029378308
0.24818626,0.00040368806,0.00015148429,-0.0004446416,0.017091732,0.0,-0.0012456676,0.12755291,5.2483387e-07,0.54644555,-6.5860695e-05,-0.025277786,0.05642937,-0.01333545,0.16512538,0.018420368,0.040130068,-0.0033618577,-0.077715054,-0.017361643,0.045225747,0.029378308
0.24713139,0.14437409,0.010413208,-0.0019904578,0.013187392,0.0,-0.0010423547,0.060487982,5.2483387e-07,0.040628307,-3.965373e-05,-0.014883556,0.009458211,0.07614975,-0.000369806,-0.00095268624,0.26697817,0.10236722,0.2587605,0.16118923,0.062033463,0.11745429
0.23697567,0.12263863,0.010606052,-0.0024369203,0.009660185,0.0,-0.0012022062,0.069472246,5.2483387e-07,0.059857465,-3.965373e-05,-0.01634619,0.0062451875,0.033536002,-0.008933837,0.0012512445,0.26541737,0.0012919509,0.2499549,0.1453962,0.050339334,0.057013493
0.20518097,-0.035863183,0.0108390935,0.0014352953,0.001201752,0.0,-0.003643423,0.0037819291,5.2483387e-07,0.022724684,-1.490776e-06,-0.017442165,0.011866015,0.046098147,-0.03192312,0.0029038815,0.0833478,0.31175938,0.31964046,-0.05077859,-0.035945434,0.22320859
0.13499874,-0.060332377,0.004790472,0.00090934674,0.00059110805,0.0,-0.0039708605,-0.056094922,5.2483387e-07,0.013840366,-8.275638e-05,-0.022812271,-0.0023878908,0.017210044,-0.047454342,0.006045291,-0.052287832,-0.06575716,0.19408843,-0.07394655,-0.06976729,-0.07541901
0.12687099,-0.052437678,0.004764213,0.0010427872,0.0006224491,0.0,-0.0038990488,-0.05828003,5.2483387e-07,0.013440284,4.4724817e-05,-0.020966955,-0.003569075,-0.0008485912,-0.047601566,0.005578783,-0.057193674,-0.10330052,0.14359824,-0.10658998,-0.0862011,-0.073576
