Material_Main,Turning times,M1_is Enclosed, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),Final GI (%)
0,12.0,1,0,60.0,0,60.0,0.0,5.49709,5,0.045,0.66,60.0,22.0,1.8,0,39.8,33,0.5,87.0482
0,12.0,1,0,60.0,0,60.0,0.0,1.79709,5,0.045,0.22,65.0,19.0,2.0,0,38.4,33,0.4055,81.0978
0,12.0,1,0,60.0,0,60.0,0.0,1.79709,5,0.045,0.44,65.0,22.0,1.8,0,40.4,33,0.4055,86.9231
0,12.0,1,0,60.0,0,60.0,0.0,1.16746,5,0.045,0.66,65.0,16.0,2.3,0,37.2,33,0.38494,66.8675
0,12.0,1,0,60.0,0,60.0,0.0,1.29709,5,0.045,0.22,70.0,22.0,1.8,0,40.6,33,0.32607,73.0185
0,12.0,1,0,60.0,0,60.0,0.0,0.43598,5,0.045,0.44,70.0,16.0,2.3,0,37.5,33,0.30422,58.9231
0,12.0,1,0,60.0,0,60.0,0.0,0.29709,5,0.045,0.66,70.0,19.0,2.0,0,38.5,33,0.29872,82.0783
8,9.25,1,0,37.0,1,37.0,25.0,0.0,5,0.06,0.24,65.0,14.5,2.4,1,34.8,5,0.35841,62.2568
8,9.25,1,0,37.0,1,37.0,25.0,0.0,5,0.06,0.48,65.0,18.09524,2.1,1,38.0,5,0.5477,90.856
8,9.25,1,0,37.0,1,37.0,25.0,0.0,5,0.06,0.72,65.0,20.73684,1.9,1,39.4,5,0.63055,83.6576
8,9.25,1,0,37.0,1,37.0,25.0,0.0,5,0.06,0.24,70.0,18.09524,2.1,1,38.0,5,0.5928,81.5175
8,9.25,1,0,37.0,1,37.0,25.0,0.0,5,0.06,0.48,70.0,21.10526,1.9,1,40.1,5,0.58795,85.7977
8,9.25,1,0,37.0,1,37.0,25.0,0.0,5,0.06,0.72,70.0,14.66667,2.4,1,35.2,5,0.5605,66.1479
8,9.25,1,0,37.0,1,37.0,25.0,0.0,5,0.06,0.24,75.0,21.52632,1.9,1,40.9,5,0.49439,73.7354
8,9.25,1,0,37.0,1,37.0,25.0,0.0,5,0.06,0.48,75.0,14.70833,2.4,1,35.3,5,0.62249,53.3074
8,9.25,1,0,37.0,1,37.0,25.0,0.0,5,0.06,0.72,75.0,17.90476,2.1,1,37.6,5,0.55272,85.9922
8,9.25,1,0,37.0,0,37.0,0.0,0.0,5,0.06,0.24,64.1,14.7,2.36,0,34.8,5,0.44435,62.0
8,9.25,1,0,37.0,0,37.0,0.0,0.0,5,0.06,0.48,65.2,18.3,2.08,0,38.0,5,0.5477,90.9
8,9.25,1,0,37.0,0,37.0,0.0,0.0,5,0.06,0.72,63.7,20.7,1.9,0,39.4,5,0.63695,83.5
8,9.25,1,0,37.0,0,37.0,0.0,0.0,5,0.06,0.24,71.3,18.4,2.06,0,38.0,5,0.55159,81.4
8,9.25,1,0,37.0,0,37.0,0.0,0.0,5,0.06,0.48,70.6,21.1,1.9,0,40.1,5,0.58795,85.7
8,9.25,1,0,37.0,0,37.0,0.0,0.0,5,0.06,0.72,70.8,15.0,2.35,0,35.2,5,0.59114,66.2
8,9.25,1,0,37.0,0,37.0,0.0,0.0,5,0.06,0.24,75.7,21.2,1.93,0,40.9,5,0.49439,73.5
8,9.25,1,0,37.0,0,37.0,0.0,0.0,5,0.06,0.48,76.8,14.9,2.37,0,35.3,5,0.61559,53.2
8,9.25,1,0,37.0,0,37.0,0.0,0.0,5,0.06,0.72,74.0,18.0,2.09,0,37.6,5,0.55272,86.1
5,1.5,0,2,21.0,0,0.0,0.0,0.0,0,2.0,0.0,60.0,26.03,1.696,0,44.14688,5,0.43263,83.2288
5,1.5,0,2,21.0,0,0.0,0.0,3.0,0,2.0,0.0,60.0,26.03,1.696,0,44.14688,23,0.35036,90.7011
5,1.5,0,2,21.0,0,0.0,0.0,3.0,0,2.0,0.0,60.0,26.03,1.696,0,44.14688,23,0.35036,89.0959
5,1.5,0,2,21.0,0,0.0,0.0,3.0,0,2.0,0.0,60.0,26.03,1.696,0,44.14688,23,0.35036,94.5756
5,1.5,0,2,21.0,0,0.0,0.0,3.0,0,2.0,0.0,60.0,26.03,1.696,0,44.14688,23,0.35036,89.1513
5,1.5,0,2,21.0,0,0.0,0.0,3.0,0,2.0,0.0,60.0,26.03,1.696,0,44.14688,23,0.35036,85.941
5,1.5,0,2,21.0,0,0.0,0.0,3.0,0,2.0,0.0,60.0,26.03,1.696,0,44.14688,23,0.35036,86.2731
5,1.5,0,2,21.0,0,0.0,0.0,3.0,0,2.0,0.0,60.0,26.03,1.696,0,44.14688,23,0.35036,84.059
8,3.5,0,1,70.0,0,0.0,0.0,0.0,5,0.844,0.0,65.7,14.60538,2.2,0,38.42229,5,0.63233,116.483
8,3.5,1,1,70.0,0,0.0,0.0,0.0,5,0.844,0.0,65.7,14.60538,2.2,0,38.42229,5,0.63233,94.5508
8,7.0,0,1,70.0,0,0.0,0.0,0.0,5,11.85,0.0,65.7,20.44404,2.2,0,38.17037,5,0.66328,118.588
8,7.0,1,1,70.0,0,0.0,0.0,0.0,5,11.85,0.0,65.7,20.44404,2.2,0,38.17037,5,0.66328,97.0069
8,0.0,0,1,70.0,0,0.0,0.0,0.0,5,0.452,0.0,65.7,15.582,2.2,0,39.31572,5,0.63233,54.0264
8,0.0,1,1,70.0,0,0.0,0.0,0.0,5,0.452,0.0,65.7,15.582,2.2,0,39.31572,5,0.63233,60.1649
8,7.0,0,1,70.0,0,0.0,0.0,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,5,0.43603,85.2
8,7.0,1,1,70.0,0,0.0,0.0,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,5,0.43603,80.6
8,14.0,0,1,70.0,0,0.0,0.0,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,5,0.45903,73.5
8,14.0,1,1,70.0,0,0.0,0.0,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,5,0.45903,70.5
8,0.0,0,1,70.0,0,0.0,0.0,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,5,0.47273,67.4
