material_0,initial CN(%),initial moisture content(%),initial pH,material_1,Excipients,initial TN(%),initial TC(%),Additive Species,NH3-N loss (%)
Manure,23.6,66.6,,Cow manure,,,,,9.0
Manure,23.1,66.9,,Cow manure,,,,,13.0
Manure,8.4,45.0,,Poultry manure,,,,,24.0
Manure,7.7,66.7,,Poultry manure,,,,,19.0
Manure,9.3,44.0,,Poultry manure,,,,,16.0
Manure,7.8,65.8,,Poultry manure,,,,,10.0
Manure,13.0,62.0,8.4,Swine manure,稻草,,,,3.9
Manure,7.0,62.0,8.4,Swine manure,稻草,,,,2.4
Manure,26.85,85.5,,Cow manure,稻草,,,,14.7
Manure,19.22,84.3,,Cow manure,稻草,,,,4.19
Manure,26.91,81.2,,Cow manure,稻草,,,,8.75
Manure,22.18,83.1,,Cow manure,稻草,,,,11.11
Manure,19.6,84.7,,Cow manure,稻草,,,,8.69
Manure,29.0,69.4,8.8,Swine manure,小麦秸秆,,,,16.5
Manure,24.7,71.1,9.1,Swine manure,小麦秸秆+尿素,,,,27.5
Manure,17.6,71.2,8.8,Swine manure,小麦秸秆+尿素,,,,38.7
Manure,19.0,67.6,9.0,Swine manure,小麦秸秆+尿素,,,,48.9
Manure,19.5,69.2,8.6,Swine manure,小麦秸秆+尿素,,,,36.2
Manure,21.2,71.0,9.2,Swine manure,小麦秸秆+尿素+锯末,,,,47.9
Manure,19.6,70.3,7.5,Swine manure,小麦秸秆+尿素+甜菜渣,,,,24.8
Manure,19.5,71.8,8.4,Swine manure,小麦秸秆+甜菜渣+尿素+锯末,,,,24.9
Sewage sludge,13.0,61.8,7.1,,木屑,,,,0.04
Sewage sludge,11.0,62.4,7.6,,木屑,,,,0.23
Manure,24.8,72.5,,Cow manure,小麦秸秆,,,,11.0
Manure,24.8,72.5,,Cow manure,小麦秸秆,,,,18.0
Manure,22.3,74.8,,Cow manure,小麦秸秆,,,,1.0
Manure,22.3,74.8,,Cow manure,小麦秸秆,,,,2.0
Manure,22.3,74.8,,Cow manure,小麦秸秆,,,,2.0
Manure,,68.0,8.1,Swine manure,锯末,,,,11.28
Manure,,68.0,8.1,Swine manure,锯末,,,,12.74
Manure,18.28,65.8,7.17,Swine manure,木屑,,,,9.19
Manure,24.03,67.3,7.94,Swine manure,木屑,,,,12.58
Manure,15.0,65.0,8.6,Swine manure,玉米秸秆,,,,13.9
