Initial C/N (%),Material_Main,Initial moisture content (%),Method,Initial pH,Material_2,Time Period,Initial TN (%),Initial TC (%),Additive_1,Additive Species,TC loss (%)
31.8,6,66.9,0,5.6,62,28.0,0.0,0.0,55,4,54.0
31.5,6,57.58,0,6.6,9,28.0,0.0,0.0,55,4,57.0
32.5,6,57.78,0,6.5,35,28.0,0.0,0.0,55,4,44.0
22.5,6,58.6,0,6.2,43,28.0,0.0,0.0,55,4,30.0
43.0,6,0.0,1,5.2,55,110.0,1.1,46.7,55,4,23.1
23.4,1,0.0,1,7.5,57,110.0,1.7,39.7,55,4,14.6
28.2,1,0.0,1,7.42,54,110.0,1.5,40.5,55,4,12.6
18.6,1,0.0,1,6.52,56,110.0,2.4,44.8,55,4,20.8
17.86,5,65.9,0,7.8,9,30.0,2.17,38.76,55,4,58.4
0.0,5,0.0,0,0.0,9,30.0,1.96,36.72,46,1,56.6
0.0,5,0.0,0,0.0,9,30.0,2.06,36.53,46,2,56.3
0.0,5,0.0,0,0.0,9,30.0,2.1,37.4,46,2,58.0
17.8,5,63.0,1,8.6,9,70.0,2.07,36.9,55,4,7.0
17.8,5,63.0,1,8.6,9,70.0,2.07,36.9,55,4,8.1
17.8,5,63.0,1,8.6,9,70.0,2.07,36.9,55,4,8.4
17.8,5,63.0,1,8.6,9,70.0,2.07,36.9,55,4,5.1
17.8,5,63.0,1,8.6,9,70.0,2.07,36.9,55,4,8.3
17.8,5,63.0,1,8.6,9,70.0,2.07,36.9,55,4,7.9
16.0363636363636,1,0.0,0,7.24,1,49.0,2.75,44.1,55,4,26.3
29.8666666666667,1,0.0,0,7.42,1,49.0,1.5,44.8,55,4,23.4
19.5,6,0.0,1,8.3,28,49.0,2.02,39.66,55,4,52.0
19.5,6,0.0,1,7.97,28,49.0,2.06,40.31,15,1,50.0
18.7,6,0.0,1,8.02,28,49.0,2.11,39.32,30,1,44.0
13.5,6,0.0,1,8.88,38,49.0,1.86,25.19,55,4,55.0
14.2,6,0.0,1,8.52,38,49.0,1.92,27.23,15,1,53.0
15.0,6,0.0,1,8.35,38,49.0,3.0886300333884225,28.84,30,1,52.0
15.0,5,65.0,0,0.0,9,37.0,2.4,34.8,55,4,43.0
