Initial C/N (%),Material_Main,Initial moisture content (%),Method,Initial pH,Material_2,Time Period,Initial TN (%),Initial TC (%),Additive_1,Additive Species,N2O-N loss (%)
18.28,7,65.8,0,7.17,12,0.0,0.0,0.0,34,4,6.53
24.03,7,67.3,0,7.94,12,0.0,2.7,0.0,17,1,5.62
11.0,7,63.8,1,8.6,11,0.0,0.0,0.0,34,4,1.9
0.0,7,65.0,4,6.79,12,0.0,0.0,0.0,34,4,0.1
0.0,0,0.0,1,7.8,24,0.0,0.0,0.0,34,4,0.003
17.1,9,72.7,1,6.1,5,0.0,0.0,0.0,34,4,3.3
18.0,7,65.0,0,8.5,3,0.0,0.0,0.0,34,4,0.9228
18.0,7,65.0,0,6.6,6,0.0,0.0,0.0,34,4,0.349
18.0,7,65.0,0,8.6,12,0.0,0.0,0.0,34,4,0.6148
14.2,0,65.4,0,9.1,19,0.0,0.0,0.0,34,4,0.74
14.2,0,65.4,0,9.1,19,0.0,0.0,0.0,34,4,0.83
14.2,0,65.4,0,9.1,19,0.0,0.0,0.0,34,4,0.93
33.85,7,45.0,0,7.75,3,0.0,0.0,0.0,34,4,0.00068
33.85,7,55.0,0,7.75,3,0.0,0.0,0.0,34,4,0.000756
33.85,7,65.0,0,7.75,3,0.0,0.0,0.0,34,4,0.00234
33.85,7,75.0,0,7.6,3,0.0,0.0,0.0,34,4,0.0006
33.85,7,85.0,0,6.9,3,0.0,0.0,0.0,34,4,0.00189
30.0,0,60.0,1,6.9,3,0.0,0.0,0.0,34,4,1.0
30.0,0,60.0,1,6.9,3,0.0,0.0,0.0,34,4,0.4
30.0,0,60.0,1,6.9,3,0.0,0.0,0.0,34,4,0.2
30.0,0,60.0,1,5.0,3,0.0,0.0,0.0,34,4,0.3
14.57,7,66.16,0,0.0,19,0.0,0.0,0.0,34,4,0.0264
13.95,7,66.77,0,0.0,19,0.0,0.0,0.0,34,4,0.0231
14.26,7,64.71,0,0.0,19,0.0,0.0,0.0,34,4,0.0161
13.74,7,64.71,0,0.0,19,0.0,0.0,0.0,34,4,0.0125
6.975,5,63.1,1,0.0,3,0.0,0.0,0.0,34,4,0.0246
6.975,5,63.1,1,0.0,3,0.0,0.0,0.0,34,4,0.0239
6.975,5,63.1,1,0.0,3,0.0,0.0,0.0,34,4,0.01966
12.76,7,76.4,1,0.0,11,0.0,0.0,0.0,34,4,0.8
16.27,7,64.90980517639383,1,0.0,11,0.0,0.0,0.0,34,4,0.1
40.0,9,60.0,0,8.1,19,0.0,0.0,0.0,34,4,2.88
27.0,0,60.0,0,0.0,19,0.0,0.0,0.0,34,4,0.1
25.0,9,55.0,0,7.4,19,0.0,0.0,0.0,34,4,1.0
13.67,7,61.0,0,7.8,3,0.0,0.0,0.0,34,4,1.32
17.23,7,62.14,0,8.1,3,0.0,0.0,0.0,34,4,0.09
19.3,4,0.0,4,0.0,24,67.0,0.0,0.0,34,4,0.27
16.5,4,0.0,4,0.0,24,76.0,0.0,0.0,34,4,0.116
9.7,6,0.0,4,0.0,24,31.0,0.0,0.0,34,4,0.266
1.1,6,0.0,4,0.0,24,49.0,0.0,0.0,34,4,0.165
27.6,8,0.0,4,0.0,24,29.0,0.0,0.0,34,4,0.25
15.9,8,0.0,4,0.0,24,133.0,0.0,0.0,34,4,0.178
14.0,3,71.7,4,7.55,24,10.0,0.0,0.0,34,4,0.34
16.0,3,77.9,4,8.7,24,10.0,0.0,0.0,34,4,0.47
14.0,3,79.6,4,7.43,24,10.0,0.0,0.0,34,4,0.52
15.0,3,78.8,4,8.2,24,10.0,0.0,0.0,34,4,0.8
14.0,3,71.7,4,7.55,24,80.0,0.0,0.0,34,4,0.297651
16.0,4,77.9,4,8.7,24,80.0,0.0,0.0,34,4,0.411745
45.73283859,8,61.1196911,4,0.0,24,60.432307692307695,0.0,0.0,34,4,0.6
45.73283859,8,61.1196911,4,0.0,24,60.432307692307695,0.0,0.0,34,4,0.261
45.73283859,8,61.1196911,4,0.0,24,60.432307692307695,0.0,0.0,34,4,0.149
0.0,4,57.0,4,5.9,24,126.0,0.0,0.0,34,4,0.1
0.0,1,0.0,4,0.0,24,0.0,0.0,0.0,34,4,0.347
0.0,2,0.0,4,0.0,24,0.0,0.0,0.0,34,4,0.843
18.59030837,3,65.0,4,0.0,24,25.0,0.0,0.0,34,4,0.765
0.0,4,0.0,4,0.0,24,0.0,0.0,0.0,34,4,0.75
0.0,4,0.0,4,0.0,24,0.0,0.0,0.0,34,4,0.76
0.0,4,0.0,4,0.0,24,0.0,0.0,0.0,34,4,0.251
0.0,1,0.0,4,0.0,24,0.0,0.0,0.0,34,4,0.35
0.0,1,75.0,4,6.5,24,40.0,0.0,0.0,34,4,0.175
0.0,4,0.0,4,0.0,24,0.0,0.0,0.0,34,4,0.178
0.0,4,0.0,4,0.0,24,0.0,0.0,0.0,34,4,0.989
0.0,3,68.0,4,8.1,24,92.0,0.0,0.0,34,4,0.366912
0.0,3,68.0,4,8.1,24,92.0,0.0,0.0,34,4,0.45864
27.21518987,8,70.0,4,0.0,24,60.0,0.0,0.0,34,4,0.1275
26.1,4,71.6689404,4,6.5,24,66.0,0.0,0.0,34,4,0.623
