Initial C/N (%),Material_Main,Initial moisture content (%),Method,Initial pH,Material_2,Time Period,Initial TN (%),Initial TC (%),Additive_1,Additive Species,NH3-N loss (%)
0.0,9,0.0,0,0.0,30,54.0,0.0,0.0,58,0,15.7
22.48202926404854,0,71.66,0,9.19,40,0.0,0.0,0.0,69,4,5.37
35.45,0,75.16,0,8.0,40,0.0,0.0,0.0,69,4,2.589
26.03,6,60.0,1,7.25,6,0.0,0.0,0.0,69,4,21.77
20.0,9,65.7,1,8.6,4,0.0,0.0,0.0,69,4,13.58
20.0,9,65.7,1,8.6,4,0.0,0.0,0.0,69,4,12.93
20.0,9,65.7,1,8.6,4,0.0,0.0,0.0,69,4,12.35
13.16,9,69.47,0,7.13,4,0.0,0.0,0.0,69,4,23.81
21.9,0,66.0,1,0.0,16,0.0,0.0,0.0,69,4,12.59
21.9,0,66.0,1,0.0,16,0.0,0.0,0.0,69,4,16.16
21.9,0,66.0,1,0.0,16,0.0,0.0,0.0,69,4,17.44
17.4,9,64.0,1,7.4,4,0.0,0.0,0.0,69,4,29.5
17.4,9,64.0,1,7.4,4,0.0,0.0,0.0,69,4,27.9
17.4,9,64.0,1,7.4,4,0.0,0.0,0.0,69,4,12.8
15.39,9,60.0,1,6.54,7,0.0,0.0,0.0,69,4,4.51
15.39,9,60.0,1,6.54,7,0.0,0.0,0.0,69,4,2.502
7.73,11,64.83,1,8.25,7,0.0,0.0,0.0,69,4,4.44
8.54,11,57.48,1,8.22,7,0.0,0.0,0.0,69,4,2.18
11.37,11,72.1,0,7.78,4,0.0,0.0,0.0,69,4,21.16
18.99,9,67.7,1,0.0,4,0.0,0.0,0.0,69,4,35.7
25.0,6,60.0,0,6.5,30,0.0,0.0,0.0,69,4,36.3
47.48,11,65.0,0,7.2,30,0.0,0.0,0.0,69,4,7.3
25.0,9,60.0,0,7.7,30,0.0,0.0,0.0,69,4,2.48
0.0,0,74.0,1,7.9,15,0.0,0.0,0.0,69,4,8.12
0.0,0,74.0,1,7.9,15,0.0,0.0,0.0,69,4,16.56
0.0,0,74.0,1,7.9,15,0.0,0.0,0.0,69,4,22.51
0.0,0,66.7,1,0.0,15,0.0,0.0,0.0,69,4,8.1
0.0,0,66.7,1,0.0,15,0.0,0.0,0.0,69,4,9.88
20.0,6,65.0,0,7.1,29,0.0,0.0,0.0,69,4,0.0354
20.0,6,65.0,0,7.1,29,0.0,0.0,0.0,69,4,8.86
20.0,6,65.0,0,7.1,29,0.0,0.0,0.0,69,4,16.48
6.53,9,77.53,1,6.2,40,0.0,0.0,0.0,69,4,2.6
6.81,9,66.71,1,7.01,7,0.0,0.0,0.0,69,4,1.2
9.22,9,66.36,1,7.41,7,0.0,0.0,0.0,69,4,0.55
7.35,9,67.68,1,7.59,8,0.0,0.0,0.0,69,4,0.15
7.24,9,66.26,1,8.04,9,0.0,0.0,0.0,69,4,0.25
19.11,11,72.13,0,5.67,16,0.0,0.0,0.0,69,4,18.97
13.27,11,69.74,0,7.56,30,0.0,0.0,0.0,69,4,13.82
13.56,11,71.05,0,8.08,12,0.0,0.0,0.0,69,4,11.66
13.9,11,72.0,0,7.4,12,0.0,0.0,0.0,69,4,0.612
13.56,11,71.05,0,8.08,12,0.0,0.0,0.0,69,4,12.53
4.43,11,50.0,0,7.6,40,0.0,0.0,0.0,69,4,1.447
4.43,11,60.0,0,7.9,40,0.0,0.0,0.0,69,4,3.0045
4.43,11,70.0,0,5.1,40,0.0,0.0,0.0,69,4,0.9396
17.8,9,63.0,1,8.55,4,0.0,0.0,0.0,69,4,38.09
17.8,9,63.0,1,8.55,4,0.0,0.0,0.0,69,4,36.38
17.8,9,63.0,1,8.55,4,0.0,0.0,0.0,69,4,30.88
17.1,9,64.0,1,7.4,4,0.0,0.0,0.0,69,4,26.19
17.1,9,64.0,1,7.4,4,0.0,0.0,0.0,69,4,24.09
17.1,9,64.0,1,7.4,4,0.0,0.0,0.0,69,4,15.77
14.0,9,61.43,1,6.62,15,0.0,0.0,0.0,69,4,30.28
14.0,9,65.75,1,7.06,15,0.0,0.0,0.0,69,4,28.22
14.93,0,65.59,1,8.48,15,0.0,0.0,0.0,69,4,5.2
14.43,0,76.09,1,7.74,15,0.0,0.0,0.0,69,4,2.24
15.0,9,40.0,0,6.72,4,0.0,0.0,0.0,69,4,3.37
15.0,9,60.0,0,6.76,4,0.0,0.0,0.0,69,4,3.17
15.0,9,80.0,0,6.63,4,0.0,0.0,0.0,69,4,6.45
15.0,9,60.0,1,6.82,4,0.0,0.0,0.0,69,4,3.13
15.0,9,60.0,0,0.0,4,0.0,0.0,0.0,69,4,18.35
20.0,9,60.0,0,0.0,4,0.0,0.0,0.0,69,4,20.72
25.0,9,60.0,0,0.0,4,0.0,0.0,0.0,69,4,25.05
30.0,9,60.0,0,0.0,4,0.0,0.0,0.0,69,4,25.95
25.0,11,66.9,0,5.75,40,0.0,0.0,0.0,69,4,34.9
20.9,11,58.6,0,5.36,0,0.0,0.0,0.0,69,4,18.2
18.7,11,53.1,0,5.13,0,0.0,0.0,0.0,69,4,6.5
16.8,11,47.5,0,5.04,0,0.0,0.0,0.0,69,4,1.4
30.0,9,60.0,0,7.2,16,0.0,0.0,0.0,69,4,0.258
18.1518282988871,0,81.0,1,7.47,40,60.432307692307695,3.0886300333884225,60.37320351299986,69,4,160.6
16.1618374558304,0,81.0,1,7.42,40,60.432307692307695,3.0886300333884225,60.37320351299986,69,4,75.5
19.0,11,50.0,0,0.0,7,0.0,0.0,0.0,69,4,1.48
20.16,11,62.0,0,7.41,12,0.0,0.0,0.0,69,4,7.558
19.16,11,62.83,0,7.35,13,0.0,0.0,0.0,69,4,7.506
17.17,11,61.92,0,7.55,14,0.0,0.0,0.0,69,4,4.7645
17.17,11,63.0,0,0.0,14,0.0,0.0,0.0,69,4,3.025
17.17,11,55.0,0,0.0,14,0.0,0.0,0.0,69,4,3.96
17.17,11,48.0,0,0.0,14,0.0,0.0,0.0,69,4,6.2569
9.89,6,73.67,0,8.0,16,0.0,0.0,0.0,69,4,13.53
15.4,9,80.3,1,7.6,40,0.0,0.0,0.0,69,4,35.57
28.3,9,70.4,1,7.38,15,0.0,0.0,0.0,69,4,28.528
30.2,9,71.6,1,7.42,11,0.0,0.0,0.0,69,4,35.48
24.7,9,70.1,1,7.42,1,0.0,0.0,0.0,69,4,16.37
11.37,11,72.1,0,7.78,4,35.0,0.0,0.0,69,4,18.4
11.37,11,72.1,0,7.78,4,35.0,0.0,0.0,69,4,21.2
11.37,11,72.1,0,7.78,4,35.0,0.0,0.0,69,4,19.1
25.0,11,55.0,0,7.3,30,0.0,0.0,0.0,69,4,2.72
24.8,9,52.2,0,8.6,4,0.0,0.0,0.0,69,4,38.7
11.5,11,62.1,0,7.63,16,0.0,0.0,0.0,69,4,29.42
12.8,11,63.4,0,5.45,17,0.0,0.0,0.0,69,4,18.38
12.9,11,62.6,0,5.23,22,0.0,0.0,0.0,69,4,18.09
12.9,11,63.4,0,7.52,20,0.0,0.0,0.0,69,4,28.35
13.8,11,61.8,0,5.31,18,0.0,0.0,0.0,69,4,20.67
14.15,11,62.4,0,6.14,23,0.0,0.0,0.0,69,4,13.88
23.6,0,66.6,1,0.0,40,0.0,3.69,87.0,69,4,9.0
23.1,0,66.9,1,0.0,40,0.0,3.72,86.0,69,4,13.0
8.4,6,45.0,1,0.0,40,0.0,0.0,0.0,69,4,24.0
7.7,6,66.7,1,0.0,40,0.0,0.0,0.0,69,4,19.0
9.3,6,44.0,1,0.0,40,0.0,0.0,0.0,69,4,16.0
7.8,6,65.8,1,0.0,40,0.0,0.0,0.0,69,4,10.0
13.0,9,62.0,0,8.4,15,0.0,0.0,0.0,69,4,3.9
