 Composting Method,Initial pH,Period (d),Additive_1,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),V2_Ventilation Interval (min),Initial GI (%),Additive_4,M1_is Enclosed,Initial C/N (%),Additive_3,Material_2,Material_3,Initial Moisture Content (%),Material_Main,V1_Ventilation Type,V4_Ventilation Day,Additive_2,Turning times,Application Rate (%DW),V3_Ventilation Duration (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
2.0,6.0,119.0,35.0,0.06,0.0,0.0,27.328846580645163,1.0,1.0,28.0,4.0,6.0,2.0,68.0,2,2.0,0.0,1.0,15.0,9.28582512072581,0.0,1.775,54.2991275657772,89.44950099999998,6.0563132340288615,0.668224036693573,0.1814762826298414,1000000.0
0.0,8.0,117.0,16.0,0.06,0.0,0.0,27.32884658064516,1.0,1.0,29.0,4.0,6.0,5.0,56.0,2,2.0,0.0,0.0,29.0,6.102669414762513,0.0,1.775,37.676465153756894,87.28376200000002,4.190419716113462,0.34319961071014404,0.18607264858333353,1000000.0
2.0,5.0,71.0,17.0,0.06,0.0,0.0,27.328846580645163,1.0,1.0,27.0,4.0,6.0,5.0,56.99091522152626,2,2.0,0.0,9.0,1.0,8.953148919824153,0.0,1.775,26.26318539658277,88.83123500000002,6.210382725518763,0.5021606087684631,0.1823899758648816,1000000.0
2.0,5.025207823230916,74.0,35.0,0.06,0.0,0.0,27.32884658064516,1.0,0.0,37.0,4.0,6.0,0.0,50.0,2,2.0,0.0,11.0,13.0,6.265015540255839,0.0,1.775,68.39137277119646,89.17978799999999,3.7640010216491877,0.30767449736595154,0.1408780958781876,1000000.0
1.0,5.0,115.0,37.0,0.06,0.0,0.0,27.32884658064516,1.0,0.0,14.0,4.0,0.0,4.0,50.0,2,2.0,0.0,2.0,12.0,8.593957952920546,0.0,1.775,70.01070290284792,88.53921299999998,2.7375909106960803,0.4915839731693268,0.11168210432617018,1000000.0
2.0,7.0,27.0,16.0,0.06,0.7999682233933681,0.0,27.328846580645163,1.0,1.0,35.0,4.0,5.0,9.0,63.0,2,2.0,0.0,2.0,6.0,8.123296945935369,0.0,1.775,43.077576787761316,90.26168699999998,6.615576074317807,0.6306084990501404,0.2255651798650452,1000000.0
0.0,7.0,100.0,35.0,0.06,1.5314432518774996,0.0,27.32884658064516,1.0,1.0,27.0,4.0,8.0,0.0,66.0,2,0.0,2.0,12.0,18.0,8.346480125471697,0.0,1.775,65.9832920869674,87.37559100000003,9.321901911478175,0.39424869418144226,0.22085248163504267,1000000.0
1.0,6.0,68.0,6.0,0.06,0.0,0.0,27.32884658064516,1.0,1.0,29.0,4.0,12.0,0.0,51.0,2,2.0,0.0,11.0,27.0,6.686378261575384,0.0,1.775,13.893158785101159,88.97266899999998,3.644639067463058,0.26719385385513306,0.1878715054983206,1000000.0
0.0,7.0,101.0,21.0,0.06,0.5250335067661982,0.0,27.328846580645163,1.0,1.0,44.66005181613681,4.0,3.0,0.0,54.462948578829625,2,0.0,2.0,0.0,28.0,2.008442615189672,0.0,1.775,79.27159197364283,89.94243599999999,7.788758861057126,0.5238989591598511,0.2508849569229798,20.960773297711064
0.0,6.0,76.0,7.0,0.06,0.0,0.0,27.32884658064516,1.0,1.0,23.009282360325003,4.0,6.0,9.0,76.61947197979214,2,2.0,0.0,1.0,19.0,4.923418012973887,0.0,1.775,46.2362585287237,89.47185099999997,5.531757931043687,0.5164417624473572,0.20489462450410145,1000000.0
1.0,8.0,28.0,23.0,0.06,0.0,0.0,27.32884658064516,1.0,0.0,29.0,4.0,8.0,2.0,70.65265475140416,2,2.0,0.0,3.0,3.0,9.395733418761417,0.0,1.775,67.38180376592113,89.71996399999998,6.091020771332633,0.31573158502578735,0.18291779548052106,1000000.0
1.0,5.0,87.0,19.0,0.06,0.0,0.0,27.32884658064516,1.0,1.0,18.0,4.0,14.0,3.0,65.0,2,2.0,0.0,13.0,9.0,4.26720620231115,0.0,1.775,35.96831900580329,87.34089,5.685827422533591,0.4280891716480255,0.16481300940982074,1000000.0
2.0,6.0,111.0,16.0,0.06,0.0,0.0,27.32884658064516,1.0,1.0,38.0,4.0,8.0,2.0,68.0,2,2.0,0.0,3.0,16.0,4.48192848143423,0.0,1.775,48.06413383871603,88.76068099999999,6.615576074317807,0.854970395565033,0.19375920260900242,1000000.0
2.0,5.790088877236956,59.0,35.0,0.06,0.0,0.0,27.328846580645163,1.0,0.0,20.10655911508137,4.0,14.0,5.0,68.0,2,2.0,0.0,0.0,10.0,9.117295618362078,0.0,1.775,32.89823621223241,88.58260799999998,4.772940789095989,0.5777343511581421,0.16428589298214707,1000000.0
2.0,7.0,120.0,10.0,0.06,0.0,0.0,27.328846580645163,1.0,1.0,43.55218685099428,4.0,8.0,0.0,70.657736516314,2,2.0,0.0,3.0,10.0,3.6339425631670954,0.0,1.775,77.30513166051485,88.54785,7.117430882285744,0.8495541214942932,0.17972949141209188,19.489192350020936
0.0,5.0,23.0,35.0,0.06,0.0,0.0,27.32884658064516,1.0,1.0,14.0,4.0,13.0,3.0,68.0,2,2.0,0.0,1.0,12.0,6.917315794633595,0.0,1.775,43.85110819394814,88.46694899999999,5.1265645822446455,0.41139715909957886,0.12731235678298503,1000000.0
0.0,5.0,80.0,23.0,0.06,0.0,0.0,27.32884658064516,1.0,1.0,32.0,4.0,12.0,3.0,58.0,2,2.0,0.0,1.0,29.0,9.089708901490308,0.0,1.775,57.905214507478895,90.66183499999997,5.1265645822446455,0.6018227338790894,0.17464943366289787,1000000.0
2.0,6.0,124.0,4.0,0.06,0.0,0.0,27.32884658064516,1.0,0.0,31.0,4.0,14.0,3.0,50.0,2,2.0,0.0,2.0,27.0,6.102903212420725,0.0,1.775,36.61712476068811,90.58649999999997,3.667339562480292,0.5487741231918335,0.14318549808910025,1000000.0
