Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final Moisture Content (%)
0,14,1.0,0,7,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,63.53,14,0.37,3,11.38,57.33
0,14,1.0,0,7,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,61.74,14,0.31,3,12.39,51.09
0,14,1.0,0,7,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,62.52,14,0.29,3,12.04,53.61
0,14,1.0,0,7,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,62.08,14,0.31,3,9.49,54.02
0,17,1.0,0,7,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,60.35,14,0.36,3,12.19,52.84
0,17,1.0,0,7,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,61.11,14,0.34,3,12.47,48.59
0,17,1.0,0,7,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,62.01,14,0.31,3,12.04,51.5
0,17,1.0,0,7,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,62.56,14,0.29,3,11.48,52.96
0,18,1.0,0,7,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,61.58,14,0.31,3,12.56,50.31
0,14,1.0,0,7,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,63.18,14,0.35,3,9.95,53.31
0,17,1.0,0,7,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,57.57,14,0.33,3,13.48,48.65
0,17,1.0,0,7,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,61.18,14,0.34,3,11.3,51.25
0,17,1.0,0,7,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,60.59,14,0.36,3,10.25,47.27
0,17,1.0,0,7,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,59.92,14,0.36,3,10.59,49.2
0,17,1.0,0,7,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,61.03,14,0.34,3,10.29,50.77
1,8,1.0,0,0,66.0,66.0,0,0.0,0.0,11.0,0.0,0.03,72.7,14,0.4,3,18.0,63.37
1,8,1.0,0,0,66.0,66.0,0,0.0,0.0,11.0,0.0,0.03,71.7,14,0.4,3,18.0,65.39
1,8,1.0,0,0,66.0,66.0,0,0.0,0.0,11.0,0.0,0.03,71.7,14,0.2,3,18.0,77.75
1,14,1.0,0,0,66.0,66.0,0,0.0,0.0,11.0,0.0,0.03,68.8,14,0.2,3,22.0,63.37
1,14,1.0,0,0,66.0,66.0,0,0.0,0.0,11.0,0.0,0.03,69.5,14,0.2,3,26.0,65.39
1,14,1.0,0,0,66.0,66.0,0,0.0,0.0,11.0,0.0,0.03,67.3,14,0.2,3,29.0,77.75
1,8,1.0,0,0,66.0,66.0,0,0.0,0.0,11.0,0.0,0.03,71.8,14,0.2,3,18.0,42.25
