material_0,initial TN(%),initial TC(%),initial moisture content(%),initial CN(%),initial pH,material_1,Excipients_1,Additive Species,TN loss  (%)
0,2.26,38.3,84.1,16.9,10.7,11,42,3,39.3
0,2.21,45.3,80.7,20.5,9.8,11,21,3,31.2
0,2.03,42.5,81.5,21.3,10.0,11,21,3,29.40000000000001
3,2.295194145561243,38.68289928120651,60.0,16.0,6.954763033333339,0,12,4,22.0
3,2.031960637073607,33.98118955445477,65.0,19.0,6.944186742857148,0,12,4,23.0
3,1.277269940201892,25.29425999999998,70.0,22.0,7.199152800000002,0,12,4,19.0
3,2.386932878405209,40.08146983990719,70.0,16.0,7.127311766666668,0,12,4,40.0
3,2.04231034389359,40.6889710185615,60.0,19.0,6.649135033333336,0,12,4,28.0
3,1.527390292201894,34.14800336426914,65.0,22.0,7.167312500000006,0,12,4,29.0
3,2.387783241153718,36.78098493199538,65.0,16.0,6.972203066666672,0,12,4,45.0
3,1.495309491935857,26.19814039675175,70.0,19.0,7.092696109523814,0,12,4,36.0
3,1.598367165021877,37.43413740139212,60.0,22.0,7.258119300000004,0,12,4,32.0
3,2.12,36.7,67.35141999999993,17.3,7.9823613,9,4,4,21.3
3,2.12,36.7,67.33011999999994,17.3,8.0193613,9,4,4,23.0
3,2.12,36.7,67.52870999999998,17.3,8.108158700000002,9,4,4,36.6
3,2.12,36.7,67.15951,17.3,7.917320900000004,9,4,4,44.1
3,2.12,36.7,67.15951,17.3,7.917320900000004,9,4,4,44.1
3,2.12,36.7,67.55981999999997,17.3,8.0069369,9,4,4,33.6
5,1.715,43.97,58.83044999999998,25.63848396501458,7.743668899999998,11,24,4,14.93407003692828
