material_0,initial TN(%),initial TC(%),initial moisture content(%),initial CN(%),initial pH,material_1,Excipients_1,Additive Species,NH3-N loss  (%)
3,3.300718153477851,105.9205693076923,60.0,15.39,6.54,9,13,4,2.5020000000000002
5,3.292418595005085,104.4046382000001,64.83,7.73,8.25,11,13,4,4.44
5,2.445529166666669,30.90866671,57.48,8.54,8.22,11,13,4,2.18
5,2.026948818733965,38.93168490719259,72.1,11.37,7.78,11,4,4,21.16
3,2.226265840778045,44.60722505800465,67.7,18.99,-1.0,9,4,4,35.699999999999996
3,0.9968841935483864,45.29815150812065,60.0,25.0,6.5,7,43,4,36.3
5,2.142323150057043,47.35519466357311,65.0,47.48,7.2,11,43,4,7.3
3,2.117300889565703,37.18338200000002,60.0,25.0,7.7,9,43,4,2.48
3,2.173219160267505,37.29957547563808,74.0,-1.0,7.9,0,24,4,8.12
3,2.210663524812959,37.97062531322506,74.0,-1.0,7.9,0,24,4,16.56
3,1.524620471753617,31.12977276102088,74.0,-1.0,7.9,0,24,4,22.509999999999998
3,2.026113567497537,38.23992846171696,66.7,-1.0,-1.0,0,24,4,8.1
3,2.138165653733965,50.15742068445478,66.7,-1.0,-1.0,0,24,4,9.879999999999999
3,2.151105515489805,42.94369848027844,65.0,20.0,7.1,7,40,4,0.0354
