material_0,initial TN(%),initial TC(%),initial moisture content(%),initial CN(%),initial pH,material_1,Excipients_1,Additive Species,N2O-N loss  (%)
4,2.233711866666666,28.46501826666665,72.13000000000001,19.11,5.67,10,20,4,0.059000000000000004
4,2.375968732831738,32.49411828666666,69.74000000000001,13.27,7.56,10,29,4,0.0427
4,2.444810466666667,39.01730444,71.05,13.56,8.08,10,18,4,0.0335
4,6.045013729436318,71.90582510521976,71.05,13.56,8.08,10,18,4,0.038900000000000004
3,2.589267900000001,36.58572513201857,61.42999999999999,14.0,6.62,8,19,4,0.02
3,2.5400561,37.62363871930393,65.75,14.0,7.06,8,19,4,1.4000000000000001
3,2.300834533333334,46.11927424547564,65.59,14.93,8.48,0,19,4,0.1
3,2.573126400000001,40.52929370904874,76.09,14.43,7.74,0,19,4,0.06
3,2.575616200000001,39.41481476751742,40.0,15.0,6.72,8,3,4,0.13999999999999999
3,2.797464615746701,57.17435090116007,60.0,15.0,6.76,8,3,4,0.19
3,2.621616200000001,40.09538573503483,80.0,15.0,6.63,8,3,4,0.21
3,2.697619933333332,40.38357253503482,60.0,15.0,6.82,8,3,4,0.08
3,1.89837974812454,37.24609330904872,60.0,15.0,-1.0,8,3,4,0.136
3,1.654720268808591,41.45347823229465,60.0,20.0,-1.0,8,3,4,0.214
3,1.662037056274191,46.24829314453593,60.0,25.0,-1.0,8,3,4,0.27899999999999997
3,1.693771898769985,44.98550102088168,60.0,30.0,-1.0,8,3,4,0.315
1,2.074209909484245,43.28969311925756,66.9,25.0,5.75,10,35,4,1.68
1,2.223000581669822,42.71665491322508,58.599999999999994,20.9,5.36,10,0,4,0.69
1,2.13145271346793,39.61294208399073,53.1,18.7,5.13,10,0,4,1.34
1,1.879975696257651,51.37511282407425,47.5,16.8,5.04,10,0,4,2.36
3,2.845139718825504,56.407650761498424,60.0,30.0,7.2,8,20,4,0.033
3,2.845139718825504,56.407650761498424,81.0,18.15182829888712,7.47,0,35,4,9.0
3,2.030158912576152,40.07720159350349,81.0,16.161837455830387,7.42,0,35,4,11.0
4,1.748145674184919,41.48466171693732,50.0,19.0,-1.0,10,12,4,0.043800000000000006
3,2.455729166666668,30.91305711,47.8,14.86,7.27,8,12,4,0.0303
4,2.445529166666669,30.90866671,72.1,11.37,7.78,10,3,4,0.8
4,2.446229166666669,30.95712671,72.1,11.37,7.78,10,3,4,0.6
4,2.079781363505318,46.991471549884,72.1,11.37,7.78,10,3,4,0.6
4,2.001289095480891,43.45463821877497,55.00000000000001,25.0,7.3,10,29,4,0.297
3,2.686926866666667,33.00541882,52.2,24.8,8.6,8,3,4,1.5
3,3.72,86.0,66.60000000000001,23.6,-1.0,0,35,4,12.0
3,3.138238865007541,35.60303812923078,66.9,23.1,-1.0,0,35,4,19.0
3,3.069070799515944,85.9399082069231,45.0,8.4,-1.0,6,35,4,4.0
