Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),TC loss (%)
1,1,1,40.0,0,0.0,0.0,8,5.0,8,0.2,0.0,65.0,33.0811,1.24777,0,41.2776,3,0.25,52.5
1,1,1,40.0,0,0.0,0.0,8,6.0,8,0.2,0.0,65.0,33.4375,1.23268,0,41.21774,3,0.25,48.48
5,0,1,30.0,7,30.0,10.0,3,0.0,8,0.1,0.00833,60.0,41.11596,0.77987,1,32.0651,3,0.5,28.4
5,0,1,30.0,7,30.0,10.0,3,10.0,8,0.1,0.00833,60.0,38.25338,0.78831,1,30.1556,6,0.5,29.3
5,0,1,30.0,7,30.0,10.0,3,10.0,8,0.1,0.00833,60.0,42.9974,0.77338,1,33.2532,3,0.5,37.1
0,0,1,20.0,0,20.0,0.0,0,0.0,8,0.06,0.21,60.22,29.35,1.45,0,42.38,3,0.66843,51.26
0,0,1,20.0,2,20.0,10.0,0,0.0,8,0.06,0.42,60.22,29.35,1.45,1,42.38,3,0.66843,47.55
0,0,1,20.0,3,20.0,5.0,0,0.0,8,0.06,0.84,60.22,29.35,1.45,1,42.38,3,0.66843,49.66
8,0,1,42.0,0,42.0,0.0,0,0.0,5,0.612,0.35,60.0,30.0,2.12452,0,44.81716,3,0.5,15.15
8,0,1,42.0,0,42.0,0.0,0,2.5,5,0.62,0.35,60.0,30.0,2.11943,0,47.71434,9,0.5,16.12
