Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),NH3-N loss (%)
9,2,0,26.0,0,0.0,0.0,7,31.35889,5,1.2,0.0,65.0,26.48227,1.41,0,37.34,6,0.4125,7.31
9,2,0,26.0,0,0.0,0.0,7,47.03833,5,1.2,0.0,65.0,29.88889,1.35,0,40.35,6,0.43125,5.47
9,0,1,35.0,5,35.0,30.0,2,0.0,5,0.06,0.38,67.6,17.4312,2.22446,1,38.775,6,0.60134,29.26
9,0,1,35.0,5,35.0,30.0,2,0.408,5,0.06,0.38,65.46,14.83745,2.06768,1,30.6791,38,0.54465,16.11
9,0,1,35.0,5,35.0,30.0,2,0.408,5,0.06,0.38,69.52,16.20429,2.16937,1,35.1531,8,0.53386,30.93
9,0,1,35.0,5,35.0,30.0,2,0.408,5,0.06,0.38,68.756,13.97506,2.27531,1,31.7976,38,0.56773,16.12
9,0,1,28.0,0,28.0,0.0,5,0.0,5,0.06,0.48,57.54093,19.25,2.13,0,38.5,6,0.53267,24.95
9,0,1,28.0,0,28.0,0.0,5,2.44988,5,0.06,0.48,56.61409,26.515,2.14833,0,41.5342,17,0.53821,11.23
9,0,1,28.0,0,28.0,0.0,5,2.45195,5,0.06,0.48,56.61409,26.515,2.15,0,41.5342,16,0.53821,22.85
9,0,1,28.0,0,28.0,0.0,5,4.35435,5,0.06,0.48,57.17409,24.29595,2.16833,0,41.5342,19,0.54251,26.71
8,0,1,34.0,0,34.0,0.0,6,0.0,5,0.06,0.27211,65.0,11.37,2.21557,0,33.23298,6,0.58333,31.52
8,0,1,34.0,0,34.0,0.0,6,10.0,5,0.06,0.26291,65.0,11.37,2.21292,0,35.76798,47,0.60375,21.26
8,0,1,34.0,0,34.0,0.0,6,10.28571,5,0.06,0.26265,65.0,11.37,2.21292,0,35.63567,47,0.60433,16.22
8,0,1,34.0,0,34.0,0.0,6,14.57143,5,0.06,0.2589,65.0,11.37,2.25992,0,37.42,47,0.61308,14.88
9,0,1,35.0,0,0.0,0.0,6,0.0,5,0.06,0.25,69.2,18.43351,2.03653,0,37.5404,6,0.37833,32.5
9,0,1,35.0,0,0.0,0.0,6,9.13414,5,0.06,0.25,63.27932,18.43351,2.03653,0,37.5404,17,0.255,14.5
9,0,1,35.0,0,0.0,0.0,6,4.0,5,0.06,0.25,65.01916,18.43351,2.03653,0,37.5404,47,0.33056,20.3
9,0,1,35.0,0,0.0,0.0,6,9.13414,5,0.06,0.25,63.27932,18.43351,2.03653,0,37.5404,17,0.255,12.4
7,0,1,50.0,0,25.5,0.025,8,0.0,5,0.1,0.065,60.0,31.0074,1.68589,0,44.57341,6,0.5,36.3
7,0,1,50.0,0,21.3,0.025,8,2.0,5,0.1,0.03,60.0,30.0553,1.71673,0,44.57341,11,0.5,33.2
7,0,1,50.0,0,19.1,0.025,8,4.0,5,0.1,0.07,60.0,30.3317,1.69581,0,45.8476,11,0.5,26.6
7,0,1,50.0,0,19.3,0.025,8,6.0,5,0.1,0.095,60.0,30.5467,1.64443,0,43.63852,11,0.5,20.4
7,0,1,50.0,0,29.3,0.025,8,8.0,5,0.1,0.13,60.0,31.0381,1.54038,0,43.86004,11,0.5,14.9
7,0,1,50.0,0,35.3,0.025,8,10.0,5,0.1,0.095,60.0,30.7924,1.58899,0,43.86004,11,0.5,10.7
9,0,1,50.0,0,50.0,0.0,8,0.0,5,0.1,0.3,55.0,25.0,2.084,0,52.1,6,0.56915,2.49315
9,0,1,50.0,0,50.0,0.0,8,10.0,5,0.1,0.3,62.41946,25.10433,2.03465,0,43.48709,6,0.52318,1.56621
9,0,1,50.0,0,50.0,0.0,8,20.0,5,0.1,0.3,59.73189,22.14199,2.27241,0,43.60416,6,0.44474,0.86301
9,0,1,50.0,0,50.0,0.0,8,20.5,5,0.1,0.3,59.73189,22.14199,2.35764,0,43.60416,6,0.44474,0.83105
9,0,1,50.0,0,50.0,0.0,8,21.0,5,0.1,0.3,59.73189,22.14199,2.35764,0,42.85043,6,0.44474,0.67656
9,0,1,50.0,0,50.0,0.0,8,22.0,5,0.1,0.3,59.73189,22.14199,2.33658,0,42.85043,6,0.44474,0.58067
8,0,1,34.0,0,34.0,0.0,7,0.0,4,0.005,0.03367,67.6,33.5,1.46,0,42.91,6,0.55,8.7
8,0,1,34.0,0,34.0,0.0,7,7.73359,4,0.005,0.03367,67.3,33.52459,1.22,0,40.9,29,0.41395,7.87
8,0,1,34.0,0,34.0,0.0,7,7.12828,4,0.005,0.03367,66.8,33.1129,1.24,0,41.06,20,0.39447,6.6
8,0,1,34.0,0,34.0,0.0,7,6.05043,4,0.005,0.03367,66.0,31.5303,1.32,0,41.62,29,0.49314,3.5
7,0,1,91.0,0,0.0,0.0,12,0.0,5,0.25,0.0,60.0,20.0,1.99,0,39.8,6,0.40065,12.9281
7,0,1,91.0,0,25.6,0.0,12,12.5,5,0.25,0.14475,60.0,20.0,2.02,0,40.4,6,0.34394,9.06668
7,0,1,91.0,0,25.6,0.0,12,12.5,5,0.25,0.14475,60.0,20.0,1.93,0,38.6,15,0.34394,4.30644
7,0,1,44.44706,0,22.85922,3.69595,12,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,6,0.47538,2.61249
7,0,1,44.44706,0,22.85922,3.69595,12,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,6,0.47538,10.7421
7,0,1,91.0,0,13.6,0.0,12,12.5,5,0.25,0.07875,60.0,25.0,1.78,0,44.5,6,0.37521,7.72635
7,0,1,91.0,0,13.6,0.0,12,12.5,5,0.25,0.07875,60.0,25.0,1.82,0,45.5,15,0.37521,3.65344
7,0,1,44.44706,0,22.85922,3.69595,12,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,6,0.47538,2.32943
7,0,1,91.0,0,0.0,0.0,12,0.0,5,0.25,0.0,60.0,30.0,1.67,0,50.1,6,0.42587,7.81575
7,0,1,91.0,0,30.0,0.0,12,12.5,5,0.25,0.41755,60.0,30.0,1.63,0,48.9,6,0.39615,4.11289
7,0,1,91.0,0,30.0,0.0,12,12.5,5,0.25,0.41755,60.0,30.0,1.7,0,51.0,15,0.39615,3.05309
7,0,1,44.44706,0,22.85922,3.69595,12,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,6,0.47538,2.04637
0,0,1,44.44706,0,22.85922,3.69595,1,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,6,0.47538,23.37209
0,0,1,44.44706,0,22.85922,3.69595,1,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,38,0.47538,14.48837
0,0,1,44.44706,0,22.85922,3.69595,1,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,51,0.47538,16.25581
0,0,1,44.44706,0,22.85922,3.69595,1,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,38,0.47538,19.37209
0,0,1,44.44706,0,22.85922,3.69595,1,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,6,0.47538,9.98214
