Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),N2O-N loss (%)
8,1,0,109.6,0,0.0,0.0,0,0.0,0,0.4,0.0,66.36,9.22,1.575,0,33.61228,4,0.886,1.2
8,1,0,109.6,0,0.0,0.0,0,0.0,0,9.826,0.0,67.68,7.35,1.575,0,32.40632,4,0.95,0.004
8,1,0,109.4,0,0.0,0.0,0,0.0,0,9.46807,0.0,66.26,7.24,1.575,0,33.03228,4,0.87,0.033
7,0,1,50.0,0,50.0,0.0,0,0.0,4,0.03,0.22286,72.13,19.11,2.21,0,42.22,4,0.26833,0.05951
7,0,1,50.0,0,50.0,0.0,0,0.0,5,0.03,0.20526,69.74,13.27,2.93,0,38.84,4,0.26833,0.04235
7,0,1,50.0,0,50.0,0.0,0,0.0,2,0.03,0.21455,71.05,13.56,3.48,0,38.16,4,0.26833,0.0336
8,0,1,28.0,5,28.0,30.0,2,0.0,5,0.07122,0.8589,60.0,15.04166,2.6237,1,39.4648,4,0.22888,0.136
8,0,1,28.0,5,28.0,30.0,2,0.0,5,0.07122,0.92562,60.0,19.96354,1.99111,1,39.7496,4,0.21239,0.214
8,0,1,28.0,5,28.0,30.0,2,0.0,5,0.07122,0.90323,60.0,24.98683,1.60222,1,40.0344,4,0.21765,0.279
8,0,1,28.0,5,28.0,30.0,2,0.0,5,0.07122,0.90909,60.0,30.22585,1.32741,1,40.1221,4,0.21625,0.315
2,0,1,28.0,6,28.0,30.0,4,0.0,5,0.06,1.20727,66.9,25.0,1.5,1,37.5,4,0.55333,1.68
2,0,1,28.0,6,28.0,30.0,4,0.0,0,0.06,0.96434,58.6,20.9,1.7,1,36.1,4,0.51833,0.69
2,0,1,28.0,6,28.0,30.0,4,0.0,0,0.06,0.85547,53.1,18.7,1.9,1,35.1,4,0.48833,1.34
2,0,1,28.0,6,28.0,30.0,4,0.0,0,0.06,0.76023,47.5,16.8,2.0,1,34.1,4,0.54167,2.36
0,2,0,44.44706,0,22.85922,3.69595,0,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,4,0.47538,0.9
0,2,0,44.44706,0,22.85922,3.69595,0,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,4,0.47538,1.1
8,2,1,56.0,0,56.0,0.0,0,0.0,5,1.37,0.108,69.4,29.0,1.37255,0,40.19608,4,0.305,1.13
8,2,1,56.0,0,56.0,0.0,0,1.7301,5,1.37,0.108,71.1,24.7,1.6609,0,41.17647,28,0.305,1.06
8,2,1,56.0,0,56.0,0.0,0,1.38889,5,1.37,0.108,71.2,17.6,2.39583,0,42.01389,28,0.305,1.02
8,2,1,56.0,0,56.0,0.0,0,3.7037,5,1.37,0.108,67.6,19.0,2.19136,0,41.97531,28,0.305,0.71
8,2,1,56.0,0,56.0,0.0,0,0.32468,5,1.37,0.108,69.2,19.5,2.33766,0,45.77922,28,0.305,0.81
