Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TN loss (%)
7,0,1,91.0,0,17.6,0.0,13,12.5,11,0.25,0.01275,60.0,28.3129
7,0,1,43.4613,0,23.19054,3.90898,13,4.45139,11,1.00714,0.74405,63.94368,20.4619
7,0,1,91.0,0,0.0,0.0,13,0.0,11,0.25,0.0,60.0,31.9196
7,0,1,91.0,0,17.6,0.0,13,12.5,11,0.25,0.01275,60.0,21.7826
7,0,1,91.0,0,17.6,0.0,13,12.5,11,0.25,0.01275,60.0,19.0748
7,0,1,43.4613,0,23.19054,3.90898,13,4.45139,11,1.00714,0.74405,63.94368,8.79526
7,0,1,91.0,0,0.0,0.0,13,0.0,11,0.25,0.0,60.0,26.1098
7,0,1,91.0,0,17.6,0.0,13,12.5,11,0.25,0.01275,60.0,19.9734
7,0,1,91.0,0,17.6,0.0,13,12.5,11,0.25,0.01275,60.0,13.265
7,0,1,43.4613,0,23.19054,3.90898,13,4.45139,11,1.00714,0.74405,63.94368,9.98574
8,0,1,32.0,0,32.0,0.0,0,0.0,11,0.1,0.56262,75.32,17.06
8,0,1,32.0,0,32.0,0.0,0,0.0,11,0.1,0.43196,69.37,37.71
8,0,1,32.0,0,32.0,0.0,0,0.0,11,0.1,0.70163,66.06,33.42
0,0,1,32.0,0,32.0,0.0,0,0.0,11,0.1,6.48662,76.28,23.26
0,0,1,32.0,0,32.0,0.0,0,0.0,11,0.1,0.43275,72.85,31.6
0,0,1,32.0,0,32.0,0.0,0,0.0,11,0.1,0.49454,63.45,34.13
8,0,1,32.0,0,32.0,0.0,0,0.0,11,0.1,0.41413,67.86,52.0
0,0,1,32.0,0,32.0,0.0,0,0.0,11,0.1,6.48662,76.28,26.68
5,0,1,28.0,0,28.0,0.0,0,0.0,11,0.1,0.62205,58.4,23.29
5,0,1,28.0,0,28.0,0.0,0,0.0,11,0.1,0.54562,56.2,28.36
5,0,1,28.0,0,28.0,0.0,0,0.0,11,0.1,0.62205,58.8,25.55
5,0,1,28.0,0,28.0,0.0,0,0.0,11,0.1,0.53362,60.9,27.35
5,0,1,28.0,0,28.0,0.0,0,0.0,11,0.1,0.43909,61.9,32.02
7,0,1,28.0,0,28.0,0.0,0,0.0,0,0.1,0.43909,61.9,42.17
7,0,1,28.0,0,28.0,0.0,0,0.0,0,0.1,0.28676,64.5,44.85
7,0,1,28.0,0,28.0,0.0,0,0.0,11,0.1,0.294,65.3,55.92
0,0,1,43.4613,0,23.19054,3.90898,1,4.45139,11,1.00714,0.74405,63.94368,47.069
0,0,1,43.4613,0,23.19054,3.90898,1,4.45139,11,1.00714,0.74405,63.94368,50.0
0,0,1,43.4613,0,23.19054,3.90898,1,4.45139,11,1.00714,0.74405,63.94368,46.7241
0,0,1,43.4613,0,23.19054,3.90898,1,4.45139,11,1.00714,0.74405,63.94368,49.3103
0,0,1,43.4613,0,23.19054,3.90898,1,4.45139,11,1.00714,0.74405,63.94368,46.5517
0,0,1,43.4613,0,23.19054,3.90898,1,4.45139,11,1.00714,0.74405,63.94368,48.4483
0,0,1,43.4613,0,23.19054,3.90898,1,4.45139,7,1.00714,0.74405,63.94368,44.3103
0,0,1,43.4613,0,23.19054,3.90898,1,4.45139,7,1.00714,0.74405,63.94368,26.8966
0,0,1,43.4613,0,23.19054,3.90898,1,4.45139,7,1.00714,0.74405,63.94368,28.2759
0,0,1,43.4613,0,23.19054,3.90898,1,4.45139,7,1.00714,0.74405,63.94368,33.7931
10,0,0,84.0,0,0.0,0.0,0,0.0,11,0.12,0.0,81.0,39.9
10,0,0,84.0,0,0.0,0.0,0,0.0,11,0.12,0.0,75.8,30.9
1,0,0,84.0,0,0.0,0.0,0,0.0,11,0.12,0.0,77.3,27.1
1,0,0,84.0,0,0.0,0.0,0,0.0,11,0.12,0.0,77.0,30.3
1,0,0,84.0,0,0.0,0.0,0,0.0,0,0.12,0.0,80.0,31.8
1,0,0,84.0,0,0.0,0.0,0,22.28321,11,0.12,0.0,84.1,39.3
