Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Final GI (%)
2,0,1,28.0,6,28.0,30.0,4,0.0,5,0.06,1.20727,66.9,70.8
2,0,1,28.0,6,28.0,30.0,4,0.0,0,0.06,0.96434,58.6,121.4
5,2,1,21.0,5,21.0,30.0,0,0.0,3,0.28442,0.15543,59.79,107.576
5,2,1,21.0,5,21.0,30.0,0,0.0,3,0.28972,0.31087,59.79,117.677
5,2,1,21.0,5,21.0,30.0,0,0.0,3,0.28442,0.15543,59.79,88.3838
6,0,1,43.4613,8,23.19054,3.90898,0,4.45139,3,1.00714,0.74405,63.94368,101.1
6,0,1,43.4613,8,23.19054,3.90898,0,4.45139,3,1.00714,0.74405,63.94368,65.5
6,0,1,43.4613,8,23.19054,3.90898,0,4.45139,3,1.00714,0.74405,63.94368,85.7143
6,0,1,43.4613,8,23.19054,3.90898,0,4.45139,3,1.00714,0.74405,63.94368,48.3
0,0,1,66.0,0,66.0,0.0,11,0.0,5,0.028,0.4,72.7,97.7459
0,0,1,66.0,0,66.0,0.0,11,0.0,5,0.028,0.4,71.7,93.2377
0,0,1,66.0,0,66.0,0.0,11,0.0,5,0.028,0.2,71.7,49.1803
0,0,1,66.0,0,66.0,0.0,11,0.0,3,0.028,0.2,68.8,95.0
0,0,1,66.0,0,66.0,0.0,11,0.0,3,0.028,0.2,69.5,86.875
0,0,1,66.0,0,66.0,0.0,11,0.0,3,0.028,0.2,67.3,91.6667
0,0,1,66.0,0,66.0,0.0,11,0.0,5,0.028,0.2,71.8,112.295
0,1,0,64.0,0,0.0,0.0,0,0.0,5,1.1,0.0,74.27405,65.7975
0,1,1,64.0,0,0.0,0.0,0,0.0,5,1.1,0.0,74.27405,84.2945
0,1,1,64.0,0,0.0,0.0,12,0.0,5,1.1,0.0,74.27405,109.969
0,1,1,43.4613,13,23.19054,3.90898,12,4.45139,5,1.00714,0.74405,63.94368,117.975
1,1,1,40.0,0,0.0,0.0,9,0.0,5,0.2,0.0,65.0,97.619
1,1,1,40.0,0,0.0,0.0,9,1.0,5,0.2,0.0,65.0,130.595
1,1,1,40.0,0,0.0,0.0,9,5.0,5,0.2,0.0,65.0,105.714
1,1,1,40.0,0,0.0,0.0,9,6.0,5,0.2,0.0,65.0,131.786
0,0,1,20.0,0,20.0,0.0,0,0.0,5,0.06,0.21,60.22,90.14
0,0,1,20.0,2,20.0,10.0,0,0.0,5,0.06,0.42,60.22,94.79
0,0,1,20.0,3,20.0,5.0,0,0.0,5,0.06,0.84,60.22,88.56
5,1,0,30.0,0,0.0,0.0,10,0.0,5,0.1458,0.0,62.04961,87.5514
5,1,0,30.0,0,0.0,0.0,10,0.0,5,0.1458,0.0,62.04961,86.1971
5,1,0,30.0,0,0.0,0.0,10,0.0,5,0.1458,0.0,62.04961,83.8271
8,0,1,56.0,0,0.0,0.0,9,0.0,5,0.1,0.0,65.01262,114.286
8,0,1,56.0,0,0.0,0.0,9,10.0,5,0.1,0.0,61.16171,123.429
0,0,1,21.0,0,21.0,0.0,0,0.0,5,0.06,0.21,55.0,70.9552
0,0,1,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,90.0531
0,0,1,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,113.607
0,0,1,31.0,0,31.0,0.0,2,0.0,5,0.06,0.09384,65.4,84.4
0,0,1,31.0,0,31.0,0.0,2,0.0,5,0.06,0.15639,65.4,70.1
0,0,1,31.0,4,31.0,10.0,2,0.0,5,0.06,0.28151,65.4,80.4
8,0,1,48.0,0,48.0,0.0,0,0.0,1,0.045,0.3279,50.0,126.4
5,0,1,48.0,0,48.0,0.0,0,0.0,1,0.045,0.34666,50.0,89.3
7,0,1,48.0,0,48.0,0.0,0,0.0,1,0.045,0.38698,50.0,118.3
4,0,1,48.0,0,48.0,0.0,0,0.0,4,0.045,0.32143,50.0,102.3
6,0,1,35.0,0,35.0,0.0,5,0.0,5,0.06,0.2,72.1,113.314
6,0,1,35.0,0,35.0,0.0,5,10.0,5,0.06,0.2,72.1,103.193
6,0,1,35.0,0,35.0,0.0,5,10.0,5,0.06,0.2,72.1,105.622
6,0,1,35.0,0,35.0,0.0,5,12.5,5,0.06,0.2,72.1,108.658
6,0,1,35.0,0,35.0,0.0,5,12.5,5,0.06,0.2,72.1,118.375
8,0,1,21.0,0,21.0,0.0,1,0.0,5,1.2096,0.24,59.81,93.25
8,0,1,21.0,0,21.0,0.0,1,0.0,0,1.2096,0.24,60.21,105.78
8,0,1,70.0,0,0.0,0.0,4,0.0,5,1.2096,0.0,63.6,112.278
8,0,1,70.0,0,70.0,0.0,4,0.0,5,1.2096,0.18,63.6,98.748
8,0,1,70.0,0,70.0,0.0,4,0.0,5,1.2096,0.36,63.6,100.969
