Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TC loss (%)
5,0,1,48.0,0,48.0,0.0,0,0.0,3,0.045,0.34666,50.0,60.2
7,0,1,48.0,0,48.0,0.0,0,0.0,3,0.045,0.38698,50.0,60.06
6,0,1,35.0,0,35.0,0.0,4,0.0,8,0.06,0.2,72.1,52.59
6,0,1,35.0,0,35.0,0.0,4,10.0,8,0.06,0.2,72.1,50.31
6,0,1,35.0,0,35.0,0.0,4,10.0,8,0.06,0.2,72.1,48.7
6,0,1,35.0,0,35.0,0.0,4,12.5,8,0.06,0.2,72.1,49.24
6,0,1,35.0,0,35.0,0.0,4,12.5,8,0.06,0.2,72.1,47.73
8,0,1,21.0,0,21.0,0.0,1,0.0,8,1.2096,0.24,59.81,49.2
8,0,1,21.0,0,21.0,0.0,1,0.0,0,1.2096,0.24,60.21,44.46
4,1,1,105.0,0,0.0,0.0,16,0.0,8,0.055,0.0,68.754,49.18
4,1,1,105.0,0,0.0,0.0,16,0.28169,8,0.055,0.0,68.754,49.13
4,1,1,105.0,0,0.0,0.0,16,0.28169,8,0.055,0.0,68.754,44.24
4,1,1,105.0,0,0.0,0.0,16,0.28169,8,0.055,0.0,68.754,43.93
4,1,1,105.0,0,0.0,0.0,16,0.28169,8,0.055,0.0,68.754,48.71
4,1,1,105.0,0,0.0,0.0,16,0.28169,8,0.055,0.0,68.754,44.74
4,1,1,105.0,0,0.0,0.0,16,0.28169,8,0.055,0.0,68.754,44.62
5,0,1,15.0,0,15.0,0.0,12,0.0,5,0.018,0.9532,65.03,10.33
5,0,1,15.0,0,15.0,0.0,12,29.0,5,0.018,0.90506,63.17,15.82
5,0,1,15.0,0,15.0,0.0,12,29.0,5,0.018,0.88629,62.39,17.17
5,0,1,15.0,0,15.0,0.0,12,29.0,5,0.018,0.89127,62.6,16.54
5,0,1,15.0,0,15.0,0.0,12,29.0,5,0.018,0.8765,61.97,11.61
5,0,1,15.0,0,15.0,0.0,12,29.0,5,0.018,0.91149,63.43,12.7
4,0,1,32.0,0,22.0,18.0,2,0.0,6,0.1,0.44062,61.1,22.76
4,0,1,32.0,0,21.58,19.0,2,0.0,6,0.1,0.43502,53.5,7.81
4,0,1,32.0,0,22.5,21.0,2,0.0,6,0.1,0.43804,48.5,17.58
4,0,1,32.0,0,22.2,18.0,2,0.0,1,0.1,0.44462,74.7,34.26
4,0,1,43.4613,0,23.19054,3.90898,2,4.45139,1,1.00714,0.74405,63.94368,21.27
4,0,1,32.0,0,22.5,21.0,2,0.0,1,0.1,0.49557,53.0,7.04
4,0,1,32.0,0,22.5,21.0,2,0.0,8,0.1,0.49664,47.5,10.57
4,0,0,45.0,0,0.0,0.0,6,0.0,8,0.06,0.0,66.014,43.0
4,0,0,45.0,0,0.0,0.0,6,0.0,8,0.06,0.0,66.014,39.6
8,0,1,70.0,0,0.0,0.0,3,0.0,8,1.2096,0.0,63.6,54.8
8,0,1,70.0,0,70.0,0.0,3,0.0,8,1.2096,0.18,63.6,54.2
8,0,1,70.0,0,70.0,0.0,3,0.0,8,1.2096,0.36,63.6,53.7
8,0,1,70.0,0,70.0,0.0,3,0.0,8,1.2096,0.54,63.6,52.2
8,0,1,43.4613,4,23.19054,3.90898,3,4.45139,8,1.00714,0.74405,63.94368,56.3
0,0,1,43.4613,0,23.19054,3.90898,0,4.45139,8,1.00714,0.74405,63.94368,40.0
0,0,1,43.4613,0,23.19054,3.90898,0,4.45139,8,1.00714,0.74405,63.94368,45.0
5,0,1,31.0,0,31.0,0.0,0,0.0,8,0.01,0.48,71.0,22.0
