Initial C/N (%),V1_Ventilation Type,Additive_4,Initial Moisture Content (%),Turning times,V5_Ventilation rate (L/min/kg iniDW),Material_3,Initial GI (%), Composting Method,V3_Ventilation Duration (min),M1_is Enclosed,Additive_3,Application Rate (%DW),Initial pH,Additive_1,Additive_2,V2_Ventilation Interval (min),V4_Ventilation Day,Material_Main,Compost volume (m3),Period (d),Material_2,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
33.0,Intermittent ,None,70.0,4.0,1.210139496013091,Mature compost,27.32884658064516,Reactor,42.18531517736896,1.0,None,0.3417753079554089,8.13497649291526,Phosphogypsum,Potassium phosphate,110.0,3.0,Sheep manure,0.045,91.0,Woody peat,1.97,73.93359038965595,112.50120400000004,6.470687355859898,1.000056505203247,0.1926421336851464,1000000.0
21.0,Intermittent ,None,56.0,10.0,0.0584432006788704,Green waste,27.32884658064516,Trough,48.625040129547166,1.0,None,9.35690312244764,11.235460375194805,Ferric salt,Gypsum,466.0,3.0,Sheep manure,0.045,58.0,Husk,1.97,42.40098449439645,112.43640100000002,7.161046634690967,0.9920374751091005,0.1409775853259416,1000000.0
37.0,Intermittent ,None,76.3421680935354,10.0,0.4232735211455651,Mature compost,27.32884658064516,Reactor,47.85435239391172,1.0,None,6.243378125256808,7.0,Inorganic acid,Calcium magnesium phosphate fertilizer,1321.0,0.0,Sheep manure,0.045,107.0,Byproduct,1.97,20.560688632709056,113.045214,5.098872540164861,0.464655727148056,0.1356604917896878,1000000.0
28.0,None,None,63.0,24.0,0.0,None,27.328846580645163,Reactor,0.0,1.0,None,7.436452073446983,10.95061531248957,Clay,Ca-superphosphate,0.0,0.0,Sheep manure,0.045,42.0,Plastic tube pieces,1.97,36.96566375854698,108.067173,7.059615195210737,0.3342889249324798,0.2046954891972318,1000000.0
18.0,Intermittent ,None,62.0,26.0,1.3754756643270258,Green waste,27.32884658064516,Trough,13.994179113397353,1.0,None,9.933504839864112,6.0,Gypsum,Potassium phosphate,629.0,3.0,Sheep manure,0.045,74.0,Plastic tube pieces,1.97,43.185197308205645,112.15875700000004,7.1799952068139685,0.9920374751091005,0.1632451649543111,1000000.0
36.0,Intermittent ,None,83.73889454643394,30.0,1.2675573939109657,Poultry manure,27.32884658064516,Reactor,13.931124539414718,1.0,None,5.90719914993084,9.033267528771384,Sodium phosphates,Mg(OH)₂,1118.0,3.0,Sheep manure,0.045,51.0,Green Waste,1.97,32.06304297227117,111.85899300000004,7.436132575472917,1.000056505203247,0.1450210059938052,1000000.0
11.0,Intermittent ,None,55.0,1.0,0.5094732638034216,Green waste,27.32884658064516,Trough,26.9725269675807,1.0,None,9.742392154702271,8.151881256159138,None,None,725.0,2.0,Sheep manure,0.045,37.0,Green waste,1.97,59.70695830336162,112.60538500000004,7.27333958959911,0.5679782032966614,0.151159417275254,1000000.0
40.0,Intermittent ,None,63.0,13.0,1.1260361887979362,None,27.32884658064516,Reactor,43.09343630951169,1.0,None,8.524848802917479,8.005919487824002,MgCl₂,Organic acid,1283.0,4.0,Sheep manure,0.045,104.0,Straw,1.97,44.354053773178,111.65382100000004,6.5380402160511135,0.9920374751091005,0.152845082174485,1000000.0
16.0,Intermittent ,None,54.0,27.0,1.9290686568052628,Mature compost,27.32884658064516,Reactor,2.205671684963446,1.0,None,4.913129425173721,8.0,Sand,None,1282.0,3.0,Sheep manure,0.045,53.0,Green Waste,1.97,71.68752211729166,111.35637400000005,7.093693774499752,1.000056505203247,0.1617397566255786,1000000.0
17.916175828060815,Intermittent ,None,54.0,7.0,0.1556935116265534,Green waste,27.32884658064516,Reactor,17.73015079221159,1.0,None,5.9380153402872535,5.0,None,None,1086.0,4.0,Sheep manure,0.045,128.0,None,1.97,28.75192365124075,111.71030100000004,7.093693774499752,0.9920374751091005,0.1115310079308146,1000000.0
