Material_Main,V3_Ventilation Duration (min),Additive_4,Initial pH,V2_Ventilation Interval (min),M1_is Enclosed,Turning times,Compost volume (m3),Material_3,Application Rate (%DW),Additive_1,Material_2,V4_Ventilation Day,Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW), Composting Method,Initial GI (%),Period (d),Additive_3,Initial C/N (%),Additive_2,V1_Ventilation Type,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
2,5.15947858551467,1,8.0,1091.0,1.0,28.0,0.06,0.0,6.409943274547598,7.0,2.0,50.0,54.14013601198512,0.1378186347158048,0.0,27.32884658064516,110.0,4,30.1870675945409,1.0,1,1.775,53.582044980310094,98.625483,9.57504650776164,0.6486382484436035,0.14168237835636804,23.121051795472212
2,8.120689937443641,1,5.0621570265316835,531.0,1.0,8.0,0.06,5.0,3.9457036453337375,34.0,3.0,6.0,51.0,0.7523055789877837,0.0,27.32884658064516,14.0,4,34.0,9.0,1,1.775,60.349999999999994,95.69716099999998,6.60721178909508,1.2392560243606567,0.17369202709323717,1000000.0
2,8.473974282993941,1,6.0,1106.0,0.0,30.0,0.06,0.0,7.197369641635361,34.0,13.0,38.0,68.334536060761,1.7816844788349524,1.0,27.32884658064516,43.0,4,11.18995956693631,5.0,1,1.775,19.862178231311947,96.34513799999996,7.953751294130155,0.9442946910858154,0.15502173096567423,30.10316739176791
2,6.810001632488341,1,7.0,1346.0,0.0,11.0,0.06,9.0,9.174701414483607,24.0,14.0,54.0,53.0,1.5400913326722248,1.0,27.32884658064516,86.0,4,37.0,13.0,1,1.775,17.75,96.30687799999995,4.821100337737677,0.6901505589485168,0.13883106293849917,1000000.0
2,7.230430290148622,1,5.677504445634446,1216.0,0.0,17.0,0.06,0.0,2.042394414002741,22.0,0.0,49.0,58.15891934709212,0.4197250118963056,2.0,27.32884658064516,90.0,4,37.0,11.0,1,1.775,65.675,96.91343299999997,7.713030853403198,1.0004019737243652,0.15180095209710087,1000000.0
2,0.9294145557858569,1,7.098207967879958,451.0,1.0,5.0,0.06,9.0,9.10756785863811,22.0,2.0,51.0,59.0,1.9407759103300164,1.0,27.32884658064516,119.0,4,16.86835651886506,13.0,1,1.775,29.94133282098548,97.16720899999999,9.124195187546137,0.6059458255767822,0.16853220564155375,21.616887362903313
2,5.525372284322108,1,5.033133136997271,84.0,1.0,17.0,0.06,3.0,3.93630045378426,6.0,2.0,10.0,67.77408943644974,1.8700078481635796,0.0,27.32884658064516,26.0,4,36.595807252788774,1.0,1,1.775,64.95755787370007,98.40806099999998,9.942852653493008,1.0868507623672485,0.23265692592475565,25.6089043418212
2,6.506183162452381,1,7.1783260890882445,1322.0,1.0,6.0,0.06,3.0,6.386221897549605,8.0,0.0,23.0,66.0,1.6042439784353852,1.0,27.32884658064516,61.0,4,28.0,9.0,1,1.775,49.699999999999996,98.52387699999997,7.314822204196716,0.6189881563186646,0.18154690630772688,1000000.0
2,2.504175094742356,1,8.0,1387.0,1.0,2.0,0.06,2.0,5.864282674305112,6.0,4.0,11.0,65.0,0.8245108400122523,1.0,27.32884658064516,16.0,4,12.33890333014401,9.0,1,1.775,21.901553411005615,97.84826,9.124195187546137,0.7388128638267517,0.16353111614484003,23.97422291518765
2,2.467048543932475,1,7.0,1101.0,1.0,23.0,0.06,0.0,8.804964620820078,18.0,12.0,14.0,63.642581765872194,1.819716489038744,0.0,27.32884658064516,28.0,4,27.929373538105217,12.0,1,1.775,49.57463803013676,99.19150699999999,10.21922665668328,0.6261931657791138,0.18032472480311218,28.615601034945847
