Material_Main,Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_4,Additive_2,Additive_1,Material_3,Material_2,Additive_3,Period (d),V1_Ventilation Type,V4_Ventilation Day,Compost volume (m3),V3_Ventilation Duration (min),V5_Ventilation rate (L/min/kg iniDW),Application Rate (%DW),Initial TN (%),Initial pH,Initial Moisture Content (%),Initial C/N (%),N2O-N loss (%)
8,5.73722,240.0,0.0,2,1,11,27,4,0,4,50.06058,1.0,26.24606,0.53245,4.21992,0.42777,3.82654,2.11619,7.58786,65.98694,19.55821,0.0066
8,7.0,0.0,1.0,0,1,11,27,4,13,4,35.0,0.0,35.0,0.06,0.0,0.2,0.0,2.68,7.78,72.1,11.37,0.5
10,8.0,0.0,1.0,0,1,11,27,4,13,4,56.0,2.0,0.0,1.2,0.0,0.0,0.0,2.03974,7.60226,67.6,18.98238,1.0
10,8.0,0.0,1.0,0,1,11,4,4,13,4,56.0,2.0,0.0,1.2,0.0,0.0,3.3,2.03974,7.55227,67.6,18.98238,0.79
10,8.0,0.0,1.0,0,1,11,4,4,13,4,56.0,2.0,0.0,1.2,0.0,0.0,6.6,2.03974,7.55227,67.6,18.98238,0.74
10,8.0,0.0,1.0,0,1,11,4,4,13,4,56.0,2.0,0.0,1.2,0.0,0.0,9.9,2.03974,7.58037,67.6,18.98238,0.68
10,8.0,0.0,1.0,0,1,11,4,4,13,4,56.0,2.0,0.0,1.2,0.0,0.0,13.2,2.03974,7.63102,67.6,18.98238,0.86
7,3.11111,0.0,1.0,0,1,11,27,4,13,4,28.0,2.0,0.0,0.13,0.0,0.0,0.0,1.667,6.54514,61.4561,30.8801,2.05
7,3.11111,0.0,1.0,0,1,11,8,4,13,4,28.0,2.0,0.0,0.13,0.0,0.0,2.0,1.668,6.85143,60.661,30.0375,2.01
7,3.11111,0.0,1.0,0,1,11,8,4,13,4,28.0,2.0,0.0,0.13,0.0,0.0,4.0,1.613,6.44457,59.7109,30.3496,1.53
7,3.11111,0.0,1.0,0,1,11,8,4,13,4,28.0,2.0,0.0,0.13,0.0,0.0,6.0,1.562,6.54057,60.4548,30.568,1.42
7,3.11111,0.0,1.0,0,1,11,8,4,13,4,28.0,2.0,0.0,0.13,0.0,0.0,8.0,1.563,6.49486,60.0684,30.8801,1.24
7,3.11111,0.0,1.0,0,1,11,8,4,13,4,28.0,2.0,0.0,0.13,0.0,0.0,10.0,1.555,6.55429,59.4546,31.0362,0.75
0,5.33333,0.0,0.0,1,1,11,27,4,13,4,64.0,2.0,0.0,1.0,0.0,0.0,0.0,2.23336,7.9,74.0,21.63185,0.1
0,5.33333,0.0,1.0,1,1,11,27,4,13,4,64.0,2.0,0.0,1.0,0.0,0.0,0.0,2.28344,7.9,74.0,21.63185,0.11
0,5.33333,0.0,1.0,1,1,11,27,4,13,4,64.0,2.0,0.0,1.0,0.0,0.0,0.0,2.23179,7.9,74.0,21.63185,0.06
0,5.33333,0.0,1.0,1,1,11,27,4,13,4,64.0,0.0,64.0,1.0,0.0,1.157,0.0,2.11755,7.9,74.0,18.71962,0.06
7,0.0,30.0,1.0,0,1,11,27,2,13,4,25.0,1.0,25.0,0.06,30.0,0.08242,0.0,2.23049,6.99231,60.0,19.76844,0.69491
7,0.0,30.0,1.0,0,1,11,27,2,13,4,25.0,1.0,25.0,0.06,30.0,0.82645,0.0,2.2314,7.1,60.0,20.12346,0.26553
7,0.0,30.0,1.0,0,1,11,27,2,13,4,25.0,1.0,25.0,0.06,30.0,1.64384,0.0,2.23068,6.9,60.0,20.01965,0.16811
10,0.0,0.0,0.0,1,1,11,27,4,5,4,96.5,2.0,0.0,0.4,0.0,0.0,0.0,1.99168,6.2,77.53,6.53,0.02
10,0.0,0.0,0.0,1,1,11,27,4,0,4,120.1,2.0,0.0,0.4,0.0,0.0,0.0,1.76989,7.01,66.71,6.81,1.1
10,0.0,0.0,0.0,1,1,11,27,4,0,4,120.1,2.0,0.0,0.4,0.0,0.0,0.0,1.699,7.41,66.36,9.22,1.2
10,0.0,0.0,0.0,1,1,11,27,4,0,4,120.1,2.0,0.0,14.50621,0.0,0.0,0.0,1.59118,7.59,67.68,7.35,0.004
10,0.0,0.0,0.0,1,1,11,27,4,0,4,109.8,2.0,0.0,14.50621,0.0,0.0,0.0,1.59118,8.04,66.26,7.24,0.033
8,0.0,0.0,1.0,0,1,11,27,4,8,4,50.0,0.0,50.0,0.03,0.0,0.22286,0.0,2.21,5.67,72.13,19.11,0.05951
