Material_Main,Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_4,Additive_2,Additive_1,Material_3,Material_2,Additive_3,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial TN (%),Initial C/N (%),Initial pH,NH3-N loss (%)
3,7.5,20.0,1.0,0,1,11,27,4,13,4,30.0,1.0,30.0,40.0,0.0,0.06,0.58662,53.59,1.1,32.46,7.72698,23.17
3,7.5,20.0,1.0,0,1,11,27,3,13,4,30.0,1.0,30.0,40.0,0.0,0.06,1.50942,59.43618,1.69475,22.83267,6.49706,14.5
3,7.5,20.0,1.0,0,1,11,16,4,13,4,30.0,1.0,30.0,40.0,2.54,0.06,0.5724,58.6187,1.72699,22.42524,6.82019,12.31
3,7.5,20.0,1.0,0,1,11,25,4,13,4,30.0,1.0,30.0,40.0,2.54,0.06,0.5724,58.6187,1.72699,22.42524,6.82019,20.84
10,3.71429,0.0,0.0,2,1,11,27,4,13,4,26.0,2.0,0.0,0.0,0.0,1.2,0.0,65.0,1.69,22.46154,7.56,26.82
10,3.71429,0.0,0.0,2,1,11,2,4,13,4,26.0,2.0,0.0,0.0,15.67944,1.2,0.0,65.0,1.51,24.96689,8.03,21.65
10,3.71429,0.0,0.0,2,1,11,2,4,13,4,26.0,2.0,0.0,0.0,31.35889,1.2,0.0,65.0,1.41,26.48227,8.17,7.31
10,5.55926,0.0,0.0,2,1,11,2,4,13,4,41.94335,2.0,27.46489,4.70745,4.22578,0.50768,0.78519,64.6059,2.13592,20.03065,7.38714,5.47
10,17.5,30.0,1.0,0,1,11,27,4,13,4,35.0,1.0,35.0,30.0,0.0,0.06,0.38,67.6,2.22446,17.4312,7.779,29.26
10,17.5,30.0,1.0,0,1,11,30,4,13,4,35.0,1.0,35.0,30.0,0.408,0.06,0.38,55.33,2.06768,14.83745,6.76537,16.11
10,17.5,30.0,1.0,0,1,11,6,4,13,4,35.0,1.0,35.0,30.0,0.408,0.06,0.38,57.52,2.16937,16.20429,8.01878,30.93
10,17.5,30.0,1.0,0,1,2,30,4,13,4,35.0,1.0,35.0,30.0,0.408,0.06,0.38,56.72,2.27531,13.97506,7.24492,16.12
10,5.6,0.0,1.0,0,1,11,27,4,13,4,28.0,0.0,28.0,0.0,0.0,0.06,0.48,57.54093,2.13,19.25,7.08396,24.95
10,5.6,0.0,1.0,0,1,11,13,4,13,4,28.0,0.0,28.0,0.0,2.44988,0.06,0.48,63.24471,2.14833,18.57007,6.59564,11.23
10,5.6,0.0,1.0,0,1,11,13,4,13,4,28.0,0.0,28.0,0.0,2.45195,0.06,0.48,62.78379,2.15,19.02743,6.76549,22.85
10,5.6,0.0,1.0,0,1,11,31,4,13,4,28.0,0.0,28.0,0.0,4.35435,0.06,0.48,61.44,2.16833,22.09865,8.34723,26.71
