Initial pH,Period (d),V4_Ventilation Day,Initial C/N (%),Material_3,Additive_4,Material_Main,V1_Ventilation Type,M1_is Enclosed, Composting Method,V3_Ventilation Duration (min),Application Rate (%DW),Initial Moisture Content (%),Additive_3,V5_Ventilation rate (L/min/kg iniDW),Material_2,Additive_2,Compost volume (m3),Initial GI (%),Additive_1,Turning times,V2_Ventilation Interval (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
9.55143616665109,73.0,0.0,12.0,3.0,1.0,6,2.0,1.0,2.0,0.0,4.714051652498545,79.28260586836944,4.0,0.0,13.0,12.0,0.15181,27.32884658064516,38.0,31.0,0.0,1.411,20.655735346271957,107.27758749999997,3.400966583813751,1.3506358861923218,0.14740210068940351,1000000.0
7.0,77.0,0.0,24.0,4.0,1.0,6,2.0,1.0,0.0,0.0,5.439576827457682,80.51689342618441,4.0,0.0,13.0,5.0,0.15181,27.32884658064516,22.0,30.0,0.0,1.411,46.00572930692813,104.71939600000002,3.018356396180236,1.2340763807296753,0.21999750044222385,1000000.0
5.0,127.0,0.0,38.0,4.0,1.0,6,2.0,0.0,2.0,0.0,2.2647741345127805,55.0,4.0,0.0,14.0,11.0,0.15181,27.32884658064516,31.0,31.0,0.0,1.411,39.01146324458101,108.24921199999999,3.018356396180236,1.4561761617660522,0.16541081109645087,1000000.0
8.0,94.0,0.0,29.0,4.0,1.0,6,2.0,0.0,2.0,0.0,3.248584215482697,67.0,4.0,0.0,14.0,11.0,0.15181,27.32884658064516,14.0,31.0,0.0,1.411,29.713200135303023,108.62771099999998,3.400966583813751,1.462595820426941,0.14838303945604953,1000000.0
7.0,94.0,75.0,31.0,3.0,1.0,6,1.0,0.0,1.0,50.67049563281726,5.717175531005266,50.0,4.0,0.298882965415759,4.0,15.0,0.15181,27.32884658064516,34.0,30.0,1024.0,1.411,52.03841810698478,105.33536849999999,4.039392466846285,1.1581015586853027,0.14366282368945932,1000000.0
5.0,18.0,15.0,37.0,5.0,1.0,6,0.0,1.0,0.0,0.0,4.041174235510516,51.0,4.0,1.2045319671736983,2.0,11.0,0.15181,27.32884658064516,7.0,27.0,0.0,1.411,8.578267285436835,106.96147600000002,2.2140613165839076,1.1674801111221313,0.22693427028528973,1000000.0
11.431708520609682,103.0,76.0,40.62971029009688,5.0,1.0,6,1.0,1.0,2.0,5.005087984460266,9.172872350583308,70.5301188372475,4.0,1.1636350167232803,12.0,11.0,0.15181,27.32884658064516,8.0,31.0,164.0,1.411,57.3285212193267,104.89591799999997,4.706053885593908,1.3414714336395264,0.14863459024307285,26.38599141337894
5.0,69.0,61.0,36.0,3.0,1.0,6,0.0,1.0,0.0,0.0,5.244024446013043,62.0,4.0,0.08198559287074669,5.0,13.0,0.15181,27.32884658064516,21.0,30.0,0.0,1.411,51.10201098386883,106.38272749999999,2.2140613165839076,1.2228904962539673,0.2122529785503811,1000000.0
10.984831680099985,59.0,8.0,24.0,3.0,1.0,6,1.0,1.0,0.0,33.403199185075806,3.1260604682816933,56.0,4.0,0.6742900864319903,14.0,12.0,0.15181,27.32884658064516,7.0,28.0,1201.0,1.411,27.233482101878284,106.12404099999999,4.706053885593908,1.1099693775177002,0.12296491819974922,1000000.0
8.498937579668391,74.0,69.0,39.0,3.0,1.0,6,1.0,1.0,0.0,41.54422195467819,3.0593959499684784,75.98498880156875,4.0,0.4330388001830283,0.0,10.0,0.15181,27.32884658064516,17.0,31.0,538.0,1.411,12.642567767456624,106.49554649999996,4.4114501268128885,1.169440746307373,0.13812606010055614,1000000.0
