Material_Main,M1_is Enclosed,Turning times, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Final GI (%)
0,1,0.0,0,20.0,0,20.0,0.0,0.0,5,0.06,0.21,60.22,90.14
0,1,0.0,0,20.0,2,20.0,10.0,0.0,5,0.06,0.42,60.22,94.79
0,1,0.0,0,20.0,3,20.0,5.0,0.0,5,0.06,0.84,60.22,88.56
5,0,3.0,1,30.0,0,0.0,0.0,0.0,5,0.1458,0.0,66.0568,87.5514
5,0,3.0,1,30.0,0,0.0,0.0,0.0,5,0.1458,0.0,66.0568,86.1971
5,0,3.0,1,30.0,0,0.0,0.0,0.0,5,0.1458,0.0,66.0568,83.8271
8,1,6.22222,0,56.0,0,0.0,0.0,0.0,5,0.1,0.0,67.70741,114.286
8,1,6.22222,0,56.0,0,0.0,0.0,10.0,5,0.1,0.0,63.24,123.429
0,1,0.0,0,21.0,0,21.0,0.0,0.0,5,0.06,0.21,55.0,70.9552
0,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,5,0.77243,0.76419,64.04016,90.0531
0,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,5,0.77243,0.76419,64.04016,113.607
0,1,15.5,0,31.0,0,31.0,0.0,0.0,5,0.06,0.09384,65.4,84.4
0,1,15.5,0,31.0,0,31.0,0.0,0.0,5,0.06,0.15639,65.4,70.1
0,1,15.5,0,31.0,4,31.0,10.0,0.0,5,0.06,0.28151,65.4,80.4
8,1,0.0,0,48.0,0,48.0,0.0,0.0,1,0.045,0.3279,50.0,126.4
5,1,0.0,0,48.0,0,48.0,0.0,0.0,1,0.045,0.34666,50.0,89.3
7,1,0.0,0,48.0,0,48.0,0.0,0.0,1,0.045,0.38698,50.0,118.3
4,1,0.0,0,48.0,0,48.0,0.0,0.0,4,0.045,0.32143,50.0,102.3
6,1,7.0,0,35.0,0,35.0,0.0,0.0,5,0.06,0.2,72.1,113.314
6,1,7.0,0,35.0,0,35.0,0.0,10.0,5,0.06,0.2,72.1,103.193
6,1,7.0,0,35.0,0,35.0,0.0,10.0,5,0.06,0.2,72.1,105.622
6,1,7.0,0,35.0,0,35.0,0.0,12.5,5,0.06,0.2,72.1,108.658
6,1,7.0,0,35.0,0,35.0,0.0,12.5,5,0.06,0.2,72.1,118.375
8,1,21.0,0,21.0,0,21.0,0.0,0.0,5,1.2096,0.24,59.81,93.25
8,1,21.0,0,21.0,0,21.0,0.0,0.0,0,1.2096,0.24,60.21,105.78
8,1,17.5,0,70.0,0,0.0,0.0,0.0,5,1.2096,0.0,63.6,112.278
8,1,17.5,0,70.0,0,70.0,0.0,0.0,5,1.2096,0.18,63.6,98.748
8,1,17.5,0,70.0,0,70.0,0.0,0.0,5,1.2096,0.36,63.6,100.969
8,1,17.5,0,70.0,0,70.0,0.0,0.0,5,1.2096,0.54,63.6,93.0937
8,1,5.06243,0,43.71769,4,23.34776,3.82857,4.36513,5,0.77243,0.76419,64.04016,106.624
8,1,7.5,0,30.0,1,30.0,25.0,0.0,5,0.06,0.48,65.9,100.7
8,1,7.5,0,30.0,1,30.0,25.0,10.0,5,0.06,0.48,64.019,105.9
8,1,7.5,0,30.0,1,30.0,25.0,10.2,5,0.06,0.48,64.499,112.4
8,1,7.5,0,30.0,1,30.0,25.0,5.2,5,0.06,0.48,57.60411,107.9
5,1,12.5,0,25.0,5,25.0,30.0,0.0,5,0.06,0.82645,65.0,97.0787
5,1,12.5,0,25.0,5,25.0,30.0,0.0,5,0.06,1.64384,65.0,105.583
5,0,4.15,2,83.0,0,0.0,0.0,0.0,3,2.0,0.0,72.4,46.0
8,0,7.71429,1,54.0,0,0.0,0.0,0.0,5,0.13,0.0,66.28,84.196
8,0,7.71429,1,54.0,0,0.0,0.0,15.0,5,0.13,0.0,62.82171,91.2548
8,0,7.71429,1,54.0,0,0.0,0.0,15.0,5,0.13,0.0,62.82171,76.2968
8,0,7.71429,1,54.0,0,0.0,0.0,0.0,5,0.13,0.0,66.28,111.975
8,0,7.71429,1,54.0,0,0.0,0.0,6.0,5,0.13,0.0,63.24,83.6134
8,0,7.71429,1,54.0,0,0.0,0.0,6.0,5,0.13,0.0,63.24,86.7647
0,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,5,0.77243,0.76419,64.04016,112.09
0,1,0.0,0,21.0,0,21.0,0.0,0.0,0,0.007,3.40107,64.47195,105.78
0,1,0.0,0,21.0,0,21.0,0.0,0.0,0,0.007,3.40107,64.47195,117.35
0,1,0.0,0,21.0,0,21.0,0.0,0.0,0,0.007,3.40107,64.47195,119.45
6,1,5.0,0,45.0,12,45.0,20.0,0.0,5,0.12,0.97145,65.0,92.0
6,1,5.0,0,45.0,12,45.0,20.0,5.0,5,0.12,1.71576,65.0,114.0
