Additive_2,Additive_3,Material_3,Initial Moisture Content (%),Additive_4,Turning times,Initial GI (%),V2_Ventilation Interval (min), Composting Method,Material_2,V3_Ventilation Duration (min),Additive_1,M1_is Enclosed,Material_Main,V4_Ventilation Day,V5_Ventilation rate (L/min/kg iniDW),V1_Ventilation Type,Application Rate (%DW),Compost volume (m3),Initial pH,Initial C/N (%),Period (d),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
11.0,4.0,5.0,60.0,1.0,19.0,27.32884658064516,0.0,1.0,0.0,0.0,2.0,0.0,5,0.0,1.3794971316513787,2.0,2.1011429763904985,0.314,5.0,32.0,20.0,1.4280600332415827,17.73416815304378,109.09239100000006,6.5630525740241215,0.21911530196666718,0.2252086374389291,1000000.0
1.0,4.0,2.0,51.0,1.0,29.0,27.32884658064516,817.0,0.0,12.0,30.386640963858373,15.0,1.0,5,35.0,0.9140465387911534,1.0,3.84097497786348,0.314,7.0,41.10530497153869,58.0,1.4280600332415827,58.70084318406094,111.009907,7.791371977976055,0.4524005949497223,0.1458519151370777,24.501092286101894
10.0,4.0,2.0,57.0,1.0,24.0,27.32884658064516,0.0,2.0,8.0,0.0,10.0,0.0,5,0.0,0.0,2.0,3.0908292878323342,0.314,5.0,35.0,52.0,1.4280600332415827,10.21199941312312,110.78122900000004,6.565161149340946,0.6026590466499329,0.1470631918324529,1000000.0
15.0,4.0,0.0,55.0,1.0,9.0,27.32884658064516,0.0,2.0,14.0,0.0,38.0,1.0,5,10.0,0.3788579938810095,0.0,2.6676313770323645,0.314,6.0,33.0,118.0,1.4280600332415827,55.558532717276606,106.535118,7.029125654834664,0.5607994198799133,0.2038754587257259,1000000.0
10.0,4.0,3.0,58.0,1.0,6.0,27.32884658064516,980.0,2.0,13.0,46.97284134718742,18.0,1.0,5,3.0,0.16159952625155927,1.0,3.23930547146359,0.314,5.0,33.0,59.0,1.4280600332415827,10.788559023237102,111.02236400000001,10.7411695609799,0.6870220303535461,0.12896502158840017,1000000.0
0.0,4.0,9.0,51.90432828116663,1.0,14.0,27.32884658064516,0.0,0.0,12.0,0.0,11.0,1.0,5,26.0,2.1027652080185266,0.0,2.3067301111240983,0.314,7.0,33.0,72.0,1.4280600332415827,40.879299283476776,108.37898700000001,6.830366797124539,0.5612647533416748,0.24852177450583085,1000000.0
3.0,4.0,0.0,66.0,1.0,4.0,27.32884658064516,674.0,2.0,2.0,48.91952931540841,38.0,0.0,5,3.0,1.9293951936898395,1.0,3.788707034166703,0.314,5.0,40.266232746138634,17.0,1.4280600332415827,57.50259767396405,110.28394800000004,10.105974154887864,0.8701989054679871,0.16222798895308171,24.67246744992879
7.0,4.0,3.0,60.0,1.0,3.0,27.32884658064516,229.0,1.0,2.0,48.436555404976225,23.0,1.0,5,31.0,0.4355096418267663,1.0,2.6579008764379433,0.314,6.0,36.0,127.0,1.4280600332415827,11.30988823942279,108.45725899999998,8.362581024454238,0.7943929433822632,0.19239771934801264,1000000.0
6.0,4.0,0.0,73.53749107795593,1.0,28.0,27.32884658064516,0.0,1.0,12.0,0.0,22.0,1.0,5,0.0,0.0,2.0,4.946495418984667,0.314,5.0,36.0,19.0,1.4280600332415827,32.682821776290254,109.50854300000005,8.105641241545316,0.6602253317832947,0.2253596664005122,1000000.0
6.0,4.0,9.0,76.45733988563889,1.0,0.0,27.32884658064516,211.0,0.0,3.0,18.458110848498972,23.0,1.0,5,41.0,1.588934556583533,1.0,4.816330202174302,0.314,6.0,40.41750274792288,50.0,1.4280600332415827,57.71862031774051,107.97839600000002,6.262383652274541,0.8842833638191223,0.18591916275357653,20.393808950106205
3.0,4.0,4.0,50.0,1.0,8.0,27.32884658064516,0.0,1.0,3.0,0.0,4.0,1.0,5,24.0,1.509642061338726,0.0,4.3307141404866725,0.314,5.0,34.0,24.0,1.4280600332415827,47.85030848779396,106.73613500000002,7.355791983978048,0.5813384652137756,0.24342461661966724,1000000.0
