Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),NH3-N (g)
22.0,22.0,0.0,0.0,0.0,0.0,0.002,61.745,0.5762901186,2.26,0.275081882
22.0,22.0,0.0,0.0,0.0,0.0,0.002,62.5248,0.5610510025000001,2.29,0.237908588
22.0,22.0,0.0,0.0,0.0,0.0,0.002,62.07920000000001,0.6157233143000002,2.46,0.376879176
22.0,22.0,0.0,0.0,0.0,0.0,0.002,60.3523,0.6824985980999999,2.14,0.376967294
22.0,22.0,0.0,0.0,0.0,0.0,0.002,61.10920000000001,0.6548521020999999,2.12,0.388566706
22.0,22.0,0.0,0.0,0.0,0.0,0.002,62.011599999999994,0.5762901186,2.25,0.296354471
22.0,22.0,0.0,0.0,0.0,0.0,0.002,62.5648,0.6131841981999999,2.36,0.208782
22.0,22.0,0.0,0.0,0.0,0.0,0.002,61.575,0.5932901186,2.17,0.249378706
22.0,22.0,0.0,0.0,0.0,0.0,0.002,63.176100000000005,0.5024256827,2.31,0.361889294
22.0,22.0,0.0,0.0,0.0,0.0,0.002,57.57439999999999,0.9031194151999999,2.0,0.250510235
22.0,22.0,0.0,0.0,0.0,0.0,0.002,61.18300000000001,0.6548521020999999,2.03,0.202895412
22.0,22.0,0.0,0.0,0.0,0.0,0.002,60.587799999999994,0.6654985980999999,2.24,0.174758706
22.0,22.0,0.0,0.0,0.0,0.0,0.002,59.91819999999999,0.6824985981,2.15,0.285139647
22.0,22.0,0.0,0.0,0.0,0.0,0.002,61.034200000000006,0.6654985981,2.21,0.387403882
20.0,20.0,60.0,120.00000000000001,0.0,0.0,0.004,71.2,3.7665895833999996,2.46,0.655282353
20.0,20.0,60.0,120.00000000000001,0.0,4.16857551,0.004,69.1,3.8630797252000004,2.74,0.432435294
20.0,20.0,60.0,120.00000000000001,0.0,2.1685755100000006,0.004,69.8,3.8590832588000006,2.52,0.469905882
20.0,20.0,60.0,120.00000000000001,0.0,2.16857551,0.004,70.0,3.8590832587999997,2.62,1.007670588
30.9,30.9,0.0,0.0,2.0,0.0,0.3,62.50000000000001,0.133333333,3.59,5.405740312
31.7,31.7,0.0,0.0,2.0,0.0,0.3,49.3,0.174227482,3.303,0.238031638
31.7,31.7,0.0,0.0,2.0,0.0,0.3,59.29999999999999,0.147420147,3.253,0.168982188
30.9,30.9,0.0,0.0,2.0,0.0,0.3,44.6,0.138387485,2.079,1.131330636
31.6,31.6,0.0,0.0,2.0,0.0,0.3,69.3,0.103148751,4.346,11.18083495
31.7,31.7,0.0,0.0,2.0,0.0,0.3,41.9,0.04876649499999999,1.588,0.017337233
30.7,30.7,0.0,0.0,2.0,0.0,0.3,50.0,0.09,2.239,0.438324346
30.8,30.799999999999997,0.0,0.0,2.0,0.0,0.3,53.7,0.143988481,1.455,1.328062
31.6,31.6,0.0,0.0,2.0,0.0,0.3,62.60000000000001,0.173796791,6.956,17.63171007
30.7,30.7,0.0,0.0,2.0,0.0,0.3,60.099999999999994,0.17961570599999999,1.7969999999999997,8.270886457
30.8,30.799999999999997,0.0,0.0,2.0,0.0,0.3,35.1,0.164355419,1.521,0.109950669
30.8,30.799999999999997,0.0,0.0,2.0,0.0,0.3,43.4,0.07656066000000002,2.098,1.409382216
66.0,66.0,0.0,0.0,11.0,0.0,0.028,72.7,0.4000000000000001,1.8999999999999997,9.0
66.0,66.0,0.0,0.0,11.0,0.0,0.028,71.7,0.4000000000000001,1.9199999999999997,7.9
66.0,66.0,0.0,0.0,11.0,0.0,0.028,71.7,0.20000000000000004,1.9199999999999997,6.7
66.0,66.0,0.0,0.0,11.0,0.0,0.028,68.8,0.20000000000000004,1.7599999999999998,4.4
66.0,66.0,0.0,0.0,11.0,0.0,0.028,67.3,0.20000000000000004,1.33,4.0
66.0,66.0,0.0,0.0,11.0,0.0,0.028,71.8,0.20000000000000004,1.9199999999999997,7.2
49.0,0.0,0.0,0.0,0.0,0.0,0.013791,76.28,0.0,4.33,0.022136062
49.0,0.0,0.0,0.0,0.0,0.0,0.013791,76.28,0.0,4.33,0.018752753
49.0,0.0,0.0,0.0,0.0,0.0,0.013791,76.28,0.0,4.33,0.01478342
49.0,0.0,0.0,0.0,0.0,0.0,0.013791,76.28,0.0,4.33,0.009266985
49.0,0.0,0.0,0.0,0.0,0.0,0.013791,76.28,0.0,4.33,0.023069793
49.0,0.0,0.0,0.0,0.0,0.0,0.013791,76.28,0.0,4.33,0.012892518
49.0,0.0,0.0,0.0,0.0,0.0,0.013791,76.28,0.0,4.33,0.015373351
